name,url,display_name,category,overview,research_findings,safety_rating,side_effects,interactions,contraindications,usage_notes
Acidophilus,https://www.mayoclinic.org/drugs-supplements-acidophilus/art-20361967,Acidophilus,Other Supplement,"Acidophilus, also called Lactobacillus acidophilus, is a bacterium found in the mouth, intestine and vagina. It's used as a probiotic. Probiotics are live microorganisms meant to keep or improve the good bacteria in the body. Each type of probiotic supplement, and each strain of each type, works in different ways. As a supplement, acidophilus is sold as capsules, tablets, wafers, powders and a vaginal suppository. Besides its use as a supplement, acidophilus also is found in some dairy products, such as yogurt. It's commercially added to many foods too. People often take acidophilus to treat a type of vaginal inflammation, called bacterial vaginosis, and digestive disorders. They also may take it to boost the growth of good bacteria.",[],"{'rating': 'Green Light - Generally safe', 'explanation': 'Interest is growing in probiotics such as acidophilus. While more research is needed, there seems to be little harm in taking acidophilus. But a balanced diet, including yogurt and fermented foods such as kefir, sauerkraut and kimchi, might give you enough ""good"" bacteria.'}","['Possible side effects from acidophilus include:', 'Constipation.', 'Gas.', 'Bloating.', 'Increased thirst.']",[],[],"Interest is growing in probiotics such as acidophilus. While more research is needed, there seems to be little harm in taking acidophilus. But a balanced diet, including yogurt and fermented foods such as kefir, sauerkraut and kimchi, might give you enough ""good"" bacteria."
Aloe,https://www.mayoclinic.org/drugs-supplements-aloe/art-20362267,Aloe,Other Supplement,"Aloe is a plant that makes two substances used in healthcare products. They are clear gel and yellow latex. People mainly put aloe's clear gel on skin to treat burns, the skin condition psoriasis and even acne. Some also take the gel by mouth to treat certain conditions. Some people take aloe latex, a laxative, by mouth to treat trouble passing stool, called constipation. Aloe gel is generally safe when used as suggested. But taking aloe latex by mouth may not be safe. In fact, taking 1 gram a day of aloe latex for a few days can cause kidney damage and might be fatal.",[],"{'rating': 'Green Light - Generally safe', 'explanation': 'Aloe gel is generally safe. It can help treat skin conditions such as burns and psoriasis.'}","[""Taking aloe latex or whole-leaf extract by mouth may be unsafe. It's likely unsafe in high doses. Taking 1 gram a day of aloe latex for a few days can cause short-term kidney failure. It can be fatal."", 'Aloe latex also might cause cancer. Other side effects include stomach cramps and loose stools. Children younger than age 12 should not take aloe latex and whole-leaf extract by mouth.']","[{'drug_class': 'Anticoagulants and antiplatelet medicines, herbs and supplements', 'description': '.These types of medicines, herbs and supplements slow blood clotting. Taking aloe by mouth also might slow blood clotting. Taking aloe by mouth with these types of medicines might lead to more bleeding.', 'severity': 'Minor'}, {'drug_class': 'Digoxin (Lanoxin)', 'description': "".Taking aloe latex by mouth can lower potassium levels. Low potassium might raise the side effects of digoxin. Don't take aloe latex and digoxin together."", 'severity': 'Minor'}, {'drug_class': 'Diabetes medicines', 'description': '.Taking aloe gel by mouth while taking diabetes medicines might raise the risk of low blood sugar, called hypoglycemia.', 'severity': 'Minor'}, {'drug_class': 'Other medicines taken by mouth', 'description': '.Taking aloe latex by mouth can keep the body from taking in other medicines. This might lower how well those medicines work.', 'severity': 'Minor'}, {'drug_class': 'Sevoflurane (Sojourn, Ultane)', 'description': '.This medicine used to cause a sleeplike state during surgery, called anesthesia, may slow blood clotting. Taking aloe by mouth also may slow blood clotting. Taken together, they might cause too much bleeding during surgery.', 'severity': 'Minor'}, {'drug_class': 'Stimulant laxatives', 'description': '.Taking aloe latex with medicines that help move stool through the body might make the bowels work too hard. This can lead to loss of fluids, called dehydration.', 'severity': 'Minor'}, {'drug_class': 'Warfarin (Jantoven)', 'description': '.Taking aloe latex by mouth can cause loose stools. This can add to the effects of warfarin, a blood-thinning medicine. This can raise the risk of bleeding.', 'severity': 'Minor'}, {'drug_class': 'Water pills, also called diuretics', 'description': "".Taking aloe latex by mouth with diuretics might lower the body's potassium levels too much, leading to a condition called hypokalemia."", 'severity': 'Minor'}]","['Aloe latex also might cause cancer. Other side effects include stomach cramps and loose stools. Children younger than age 12 should not take aloe latex and whole-leaf extract by mouth.', 'People who are pregnant or breastfeeding should not use aloe in either form.']",Aloe gel is generally safe. It can help treat skin conditions such as burns and psoriasis. But don't take aloe latex by mouth. Aloe latex may have cancer-causing chemicals. Taking 1 gram a day of aloe latex for several days can cause kidney damage. And it may be fatal.
Coenzyme Q10,https://www.mayoclinic.org/drugs-supplements-coenzyme-q10/art-20362602,Coenzyme Q10,Other Supplement,"Coenzyme Q10 is an antioxidant the body naturally makes. Coenzyme Q10 also is called CoQ10. Antioxidants can help protect the body from cell damage. Cells use CoQ10 for growth and to make energy. Levels of CoQ10 in your body lower as you get older. People with certain conditions such as heart disease or those who take medicines to lower cholesterol, called statins, may have lower CoQ10 levels. Meat, fish and nuts have CoQ10. The amount of CoQ10 found in these foods isn't usually enough to raise CoQ10 levels by much. CoQ10 dietary supplements come as capsules, chewable tablets and liquid syrups. COQ10 also can be given by a tube inserted in a vein, called intravenous. IV is short for intravenous. CoQ10 might help prevent or treat certain heart conditions, as well as migraine headaches.",[],"{'rating': 'Green Light - Generally safe', 'explanation': 'Coenzyme Q10, also called CoQ10, supplements might be helpful for treating conditions such as congestive heart failure and preventing migraines. Most healthcare professionals think CoQ10 is safe, with few side effects. But ask your healthcare professional before you take the supplement.'}","['Coenzyme Q10, also called, CoQ10 supplements seem to be safe. They cause few side effects when taken as directed.', 'Mild side effects might include stomach problems such as:', 'Upper stomach pain.', 'Loss of appetite.', 'Nausea.', 'Diarrhea.', 'Other possible side effects may include:', 'Dizziness.', 'Problems sleeping.', 'Tiredness.', 'Headaches.', 'Rash.', 'Irritability.']","[{'drug_class': 'Anticoagulants', 'description': '.Coenzyme Q10, also called CoQ10, might make the blood-thinning medicine warfarin (Jantoven) not work as well. This could raise the risk of a blood clot.', 'severity': 'Minor'}]","[""Healthcare professionals haven't decided if CoQ10 is safe to take during pregnancy or while breastfeeding. Don't use CoQ10 if you're pregnant or breastfeeding without your healthcare professional's approval.""]","Coenzyme Q10, also called CoQ10, supplements might be helpful for treating conditions such as congestive heart failure and preventing migraines. Most healthcare professionals think CoQ10 is safe, with few side effects. But ask your healthcare professional before you take the supplement."
Creatine,https://www.mayoclinic.org/drugs-supplements-creatine/art-20347591,Creatine,Other Supplement,"Creatine is a compound that comes from three amino acids. Creatine is found mostly in your body's muscles as well as in the brain. Most people get creatine through seafood and red meat — though at levels far below those found in synthetically made creatine supplements. The body's liver, pancreas and kidneys also can make about 1 gram of creatine per day. Your body stores creatine as phosphocreatine primarily in your muscles, where it's used for energy. As a result, people take creatine orally to improve athletic performance and increase muscle mass. People also use oral creatine to treat certain brain disorders, neuromuscular conditions, congestive heart failure and other conditions. Topical creatine might be used to treat aging skin.",[],"{'rating': 'Green Light - Generally safe', 'explanation': 'Creatine might benefit athletes who need short bursts of speed or increased muscle strength, such as sprinters, weight lifters and team sport athletes.'}","['Creatine can cause:', 'Weight gain, generally as lean body mass']","[{'drug_class': 'Caffeine', 'description': "".Combining caffeine with creatine might decrease the efficacy of creatine. Use of creatine with a daily amount of caffeine greater than 300 milligrams might also worsen the progression of Parkinson's disease. Further research is needed."", 'severity': 'Moderate'}]",[],"Creatine might benefit athletes who need short bursts of speed or increased muscle strength, such as sprinters, weight lifters and team sport athletes. While taking creatine might not help all athletes, evidence suggests that it generally won't hurt if taken as directed. Although an older case study suggested that creatine might worsen kidney dysfunction in people with kidney disorders, creatine doesn't appear to affect kidney function in healthy people."
DHEA,https://www.mayoclinic.org/drugs-supplements-dhea/art-20364199,DHEA,Other Supplement,"Dehydroepiandrosterone (DHEA) is a hormone that your body naturally produces in the adrenal gland. DHEA helps produce other hormones, including testosterone and estrogen. Natural DHEA levels peak in early adulthood and then slowly fall as you age. A synthetic version of DHEA is available as a tablet, capsule, powder, topical cream and gel. People use DHEA as an anti-aging therapy and to improve physical performance. DHEA is also used to treat depression and symptoms of menopause.",[],"{'rating': 'Avoid', 'explanation': ""While some research suggests that DHEA might be slightly helpful in treating depression and vaginal atrophy, there's little evidence to support anti-aging claims. Also, DHEA use can cause serious side effects. Avoid using this supplement.""}",[],"[{'drug_class': 'Antipsychotics', 'description': "".Use of DHEA with antipsychotics such as clozapine (Clozaril, Versacloz, others) might reduce the drug's effectiveness."", 'severity': 'Minor'}, {'drug_class': 'Carbamazepine (Tegretol, Carbatrol, others)', 'description': "".Use of DHEA with this drug used to treat seizures, nerve pain and bipolar disorder might reduce the drug's effectiveness."", 'severity': 'Minor'}, {'drug_class': 'Estrogen', 'description': "".Don't use DHEA with estrogen. Combining DHEA and estrogen might cause symptoms of excess estrogen, such as nausea, headache and insomnia."", 'severity': 'Minor'}, {'drug_class': 'Lithium', 'description': "".Use of DHEA with lithium might reduce the drug's effectiveness."", 'severity': 'Minor'}, {'drug_class': 'Selective serotonin reuptake inhibitors', 'description': '.Use of DHEA with this type of antidepressant might cause manic symptoms.', 'severity': 'Minor'}, {'drug_class': 'Testosterone', 'description': "".Don't use DHEA with testosterone. Combining DHEA and testosterone might cause symptoms such as low sperm count and enlarged breasts in men (gynecomastia) and the development of typically male characteristics in women."", 'severity': 'Minor'}, {'drug_class': 'Triazolam (Halcion)', 'description': '.Using DHEA with this sedative might increase the effects of this drug, causing excessive sedation and affecting your breathing and heart rate.', 'severity': 'Moderate'}, {'drug_class': 'Valproic acid', 'description': "".Use of DHEA with this medication used to treat seizures and bipolar disorder might reduce the drug's effectiveness."", 'severity': 'Minor'}]","[""DHEA is a hormone. Use of this supplement might increase levels of androgen and have a steroid effect. DHEA also might increase the risk of hormone-sensitive cancers, including prostate, breast and ovarian cancers. If you have any form of cancer or are at risk of cancer, don't use DHEA."", ""Don't use DHEA if you're pregnant or breastfeeding."", 'Consider avoiding use of DHEA if you have high cholesterol or a condition that affects the supply of blood to the heart (ischemic heart disease). DHEA might reduce high-density lipoprotein (HDL), or ""good,"" cholesterol levels.']","While some research suggests that DHEA might be slightly helpful in treating depression and vaginal atrophy, there's little evidence to support anti-aging claims. Also, DHEA use can cause serious side effects. Avoid using this supplement."
Evening primrose,https://www.mayoclinic.org/drugs-supplements-evening-primrose/art-20364500,Evening primrose,Other Supplement,"Evening primrose is a plant with yellow flowers. Evening primrose oil comes from the plant's seeds. People take evening primrose oil as a dietary supplement. It most often comes in capsules to take by mouth. The supplement has omega-6 fatty acids, including gamma-linolenic acid, also called GLA. People take evening primrose to treat many conditions.",[],"{'rating': 'Yellow Light - Caution', 'explanation': ""Evening primrose oil is likely safe for most people to take for a short time. But research hasn't found that the supplement treats any condition.""}","['But taking evening primrose oil can cause:', 'Upset stomach.', 'Loose stools.', 'Headache.']","[{'drug_class': 'Anticoagulants and anti-platelet medicines, herbs and supplements', 'description': '.These types of medicines, herbs and supplements keep blood from clotting. Taking evening primrose while also taking these medicines may raise the risk of bleeding.', 'severity': 'Minor'}, {'drug_class': 'Cytochrome P450 3A4 substrates,', 'description': 'also called CYP3A4 substrates. Use evening primrose with care if you take a medicine affected by these enzymes. One such medicine is the cholesterol-lowering lovastatin (Altoprev).', 'severity': 'Minor'}, {'drug_class': 'Lopinavir-ritonavir (Kaletra)', 'description': '.This medicine treats the infection caused by human immunodeficiency virus, also called HIV. Evening primrose oil might slow how quickly the body breaks down this medicine.', 'severity': 'Minor'}, {'drug_class': 'Phenothiazines', 'description': '.These medicines treat serious mental health conditions. Taking evening primrose oil with phenothiazines may raise the risk of seizures in some people.', 'severity': 'Major'}]","[""Evening primrose oil might raise the risk of pregnancy complications. Some types of evening primrose may act like estrogen. So people with hormone-sensitive cancers also shouldn't take it. It also may raise blood pressure.""]",Evening primrose oil is likely safe for most people to take for a short time. But research hasn't found that the supplement treats any condition.
Fish oil,https://www.mayoclinic.org/drugs-supplements-fish-oil/art-20364810,Fish oil,Other Supplement,"Fish oil is a dietary source of omega-3 fatty acids. Your body needs omega-3 fatty acids for many functions, from muscle activity to cell growth. Omega-3 fatty acids are derived from food. They can't be manufactured in the body. Fish oil contains two omega-3s called docosahexaenoic acid (DHA) and eicosapentaenoic acid (EPA). Dietary sources ofDHAandEPAare fatty fish, such as salmon, mackerel and trout, and shellfish, such as mussels, oysters and crabs. Some nuts, seeds and vegetable oils contain another omega-3 called alpha-linolenic acid (ALA). Fish oil supplements come in liquid, capsule and pill form. People take fish oil for its anti-inflammatory effects.",[],"{'rating': 'Green Light - Generally safe', 'explanation': 'Omega-3 fatty acids are essential for good health. Try to get them from your diet by eating fish — broiled or baked, not fried. Fish oil supplements might be helpful if you have high triglycerides or rheumatoid arthritis.'}","['However, fish oil supplements can cause mild side effects, including:', 'A fishy aftertaste', 'Bad breath', 'Heartburn, nausea or diarrhea', 'Rash']","[{'drug_class': 'Anticoagulant and antiplatelet drugs, herbs and supplements', 'description': "".These types of drugs, herbs and supplements reduce blood clotting. It's possible that taking fish oil supplements with them might increase the risk of bleeding."", 'severity': 'Moderate'}, {'drug_class': 'Blood pressure drugs, herbs and supplements', 'description': '.Taking fish oil supplements might slightly lower blood pressure. Taking these supplements with blood pressure drugs might increase the effects on blood pressure.', 'severity': 'Moderate'}, {'drug_class': 'Contraceptive drugs', 'description': '.Some contraceptive drugs might interfere with the effect fish oil typically has on triglycerides.', 'severity': 'Minor'}, {'drug_class': 'Orlistat (Xenical, Alli)', 'description': '.Taking fish oil with this weight-loss drug might decrease absorption of fish oil fatty acids. Consider taking the supplement and drug two hours apart.', 'severity': 'Minor'}, {'drug_class': 'Vitamin E', 'description': '.Taking fish oil can reduce vitamin E levels.', 'severity': 'Minor'}]",[],"Omega-3 fatty acids are essential for good health. Try to get them from your diet by eating fish — broiled or baked, not fried. Fish oil supplements might be helpful if you have high triglycerides or rheumatoid arthritis. Fish oil appears to contain almost no mercury, which can be a cause for concern in certain types of fish. While generally safe, getting too much fish oil can increase your risk of bleeding and might affect your immune response. It's not clear whether fish oil is safe for people who are allergic to seafood. Take fish oil supplements under a doctor's supervision."
Flaxseed and flaxseed oil,https://www.mayoclinic.org/drugs-supplements-flaxseed-and-flaxseed-oil/art-20366457,Flaxseed and flaxseed oil,Other Supplement,Flaxseed and flaxseed oil are rich sources of an omega-3 fatty acid called alpha-linolenic acid. Research shows that omega-3 fatty acids are good for the heart. Flaxseed has a lot of fiber. It's also high in substances called lignans that are found in plants. Lignans contain phytoestrogens. Some research suggests that phytoestrogens may help fight cancer. Flaxseed oil does not have fiber or phytoestrogens. Flaxseed can be used whole or crushed. It also comes in a powder form as meal or flour. It's often mixed with or baked into foods. Flaxseed oil is available as a liquid or as capsules. People use flaxseed and flaxseed oil to help lower cholesterol and blood sugar and to treat digestive conditions. Some people also take flaxseed to treat inflammatory diseases.,[],"{'rating': 'Green Light - Generally safe', 'explanation': 'When used along with daily exercise and a low cholesterol diet, flaxseed may help manage cholesterol levels. Flaxseed also might be helpful for managing diabetes and lowering the risk of heart disease.'}","['When taken in recommended amounts, flaxseed and flaxseed oil are generally safe to use. But when taken in large amounts and with too little water, flaxseed can cause:', 'Bloating.', 'Gas.', 'Diarrhea.', 'For some people, flaxseed or flaxseed oil can cause an allergic reaction.']","[{'drug_class': 'Anticoagulant and antiplatelet medicines', 'description': "".These medicines lower the blood's ability to clot. Flaxseed also might lessen blood clotting. Because of that, it's possible that taking flaxseed or flaxseed oil along with anticoagulant or antiplatelet medicines might raise the risk of bleeding."", 'severity': 'Minor'}, {'drug_class': 'Blood pressure medicines', 'description': "".Flaxseed may lower blood pressure. So taking flaxseed or flaxseed oil along with medicines that lower blood pressure might lower blood pressure to a level that isn't healthy."", 'severity': 'Minor'}, {'drug_class': 'Diabetes medicines', 'description': '.Flaxseed may lower blood sugar. Taking flaxseed along with diabetes medicines might lower blood sugar too much. The same is true if you take flaxseed along with other medicines that have the potential to lower blood sugar.', 'severity': 'Minor'}, {'drug_class': 'Estrogens', 'description': '.Flaxseed may hinder the effects of estrogen. That means taking flaxseed might lower the effectiveness of birth control pills and estrogen replacement therapy.', 'severity': 'Minor'}]",[],"When used along with daily exercise and a low cholesterol diet, flaxseed may help manage cholesterol levels. Flaxseed also might be helpful for managing diabetes and lowering the risk of heart disease."
Folate (folic acid),https://www.mayoclinic.org/drugs-supplements-folate/art-20364625,Folate (folic acid),Other Supplement,"Folate is vitamin B9. It helps the body make red blood cells. Folate is needed for healthy cell growth and function. The nutrient is very important during early pregnancy to lower the risk of birth defects of the brain and spine. Folate is found mainly in dark green leafy vegetables, beans, peas and nuts. Fruits rich in folate include oranges, bananas, melons and papayas. The human-made form of folate is folic acid. It's an essential part of prenatal vitamins. Folic acid also is in many fortified foods, such as cereals and pastas. People who don't eat enough foods rich in folate or folic acid may have low folate levels, called folate deficiency. That means their bodies don't get all the folate they need. People who have conditions that prevent the small intestine from taking in nutrients from foods also may have low folate levels. Examples of these conditions include celiac disease and inflammatory bowel disease. The recommended daily amount of folate for adults is 400 micrograms (mcg). People who are planning pregnancy or could become pregnant should get 400 to 800 mcg of folic acid a day.",[],"{'rating': 'Green Light - Generally safe', 'explanation': ""For most people, it's best to get folate from food. A balanced diet usually gives you all the folate you need. But folic acid supplements are recommended for anyone who plans to become pregnant, could become pregnant, is pregnant or is breastfeeding.""}","['Taking high doses of folic acid by mouth can cause:', 'A bitter taste in the mouth.', 'Nausea.', 'Loose stools.', 'Confusion.', 'Irritability.', 'Trouble sleeping.', 'Stomach cramps.', 'Skin rash.', 'Itching.', 'Skin color changes, such as purple or brown depending on your skin color.', 'Difficulty breathing.']","[{'drug_class': 'Anticonvulsants', 'description': '.Taking folic acid with carbamazepine (Carbatrol, Tegretol, others), phenytoin (Dilantin, Phenytek) or valproate might lower the amount of the medicine in the blood.', 'severity': 'Minor'}, {'drug_class': 'Barbiturates', 'description': '.A barbiturate is a medicine that acts as a central nervous system depressant. If you take folic acid with a barbiturate, the medicine might not work as well.', 'severity': 'Minor'}, {'drug_class': 'Methotrexate (Trexall)', 'description': '.Taking folic acid with this medicine when used to treat cancer could affect how well it works.', 'severity': 'Minor'}, {'drug_class': 'Pyrimethamine (Daraprim)', 'description': '.Taking folic acid with this medicine used to prevent malaria might affect how well it works.', 'severity': 'Minor'}]",[],"For most people, it's best to get folate from food. A balanced diet usually gives you all the folate you need. But folic acid supplements are recommended for anyone who plans to become pregnant, could become pregnant, is pregnant or is breastfeeding. Folic acid supplements also can help people who have poor diets or conditions that get in the way of the body's ability to take in folate."
Ginkgo,https://www.mayoclinic.org/drugs-supplements-ginkgo/art-20362032,Ginkgo,Other Supplement,"Ginkgo, also called Ginkgo biloba, is one of the oldest living types of trees. Most ginkgo products use extract from ginkgo's fan-shaped leaves. Ginkgo has two main substances that are good for health. Ginkgo has flavonoids, which are antioxidants that help protect the body's cells from damage. And it has a type of terpenoid. Terpenoids help keep blood moving by widening blood vessels. Ginkgo most often comes as a tablet, extract, capsule, or tea taken by mouth. Don't eat raw or roasted ginkgo seeds, which can poison you. Much of the research on ginkgo focuses on its effect on dementia, memory, and pain caused by peripheral artery disease blocking blood flow to the arms and legs. The lack of blood flow is called claudication.",[],"{'rating': 'Yellow Light - Caution', 'explanation': ""Ginkgo seems to be safe to take for a short time. Research doesn't support taking ginkgo to prevent or slow dementia or cognitive decline.""}","['Ginkgo can cause:', 'Headache.', 'Low salt levels.', 'Bleeding.', 'Dizziness.', 'The feeling of the heart pounding or racing, called palpitations.', 'Upset stomach.', 'Trouble passing stool, called constipation.', 'Skin allergies.']","[{'drug_class': 'Alprazolam (Xanax)', 'description': '.This medicine relieves symptoms of anxiety. Taking ginkgo with it might keep the medicine from working as well.', 'severity': 'Minor'}, {'drug_class': 'Anticoagulants and antiplatelet drugs, herbs and supplements', 'description': '.These types of medicines, herbs and supplements lessen blood clotting. Taking ginkgo with them might raise the risk of bleeding.', 'severity': 'Minor'}, {'drug_class': 'Anticonvulsants and seizure threshold-lowering medicines, herbs and supplements', 'description': '.Large amounts of ginkgo can cause seizures. Taking ginkgo could keep an anticonvulsant medicine from working as well.', 'severity': 'Minor'}, {'drug_class': 'Antidepressants', 'description': '.Taking ginkgo with certain antidepressants, such as fluoxetine (Prozac), might keep them from working as well.', 'severity': 'Minor'}, {'drug_class': 'Some statins', 'description': '.Taking ginkgo with simvastatin (Zocor, Flolipid) might keep the medicine from working as well. Ginkgo also appears to lower the effects of atorvastatin (Lipitor, Atorvaliq).', 'severity': 'Minor'}, {'drug_class': 'Diabetes medicines', 'description': '.Ginkgo might change how people with diabetes respond to these medicines.', 'severity': 'Minor'}, {'drug_class': 'Ibuprofen', 'description': '.Using ginkgo with ibuprofen (Advil, Motrin IB, others) may increase bleeding risk.', 'severity': 'Moderate'}]",[],Ginkgo seems to be safe to take for a short time. Research doesn't support taking ginkgo to prevent or slow dementia or cognitive decline.
