symptom_id,symptom_name
SYM001,A Bitter Taste In The Mouth
SYM002,"A Deep State Of Sleep Where A Person Doesn'T Respond, Called Coma"
SYM003,A Fishy Aftertaste
SYM004,A History Of Heart Attack Or Stroke
SYM005,A Lack Of Muscle Control Or Coordination Of Voluntary Movements
SYM006,Acidophilus That Has Live Bacteria
SYM007,Airway Inflammation Or Worsening Of Asthma Symptoms
SYM008,Allergic Response
SYM009,"Allergic Skin Rash, Also Called Dermatitis"
SYM010,"An Eye Condition In Which The Retina Is Damaged, Called Retinitis Pigmentosa"
SYM011,Anesthesia
SYM012,Angioplasty
SYM013,Anxiety
SYM014,Atorvastatin
SYM015,Bad Breath
SYM016,Balance Issues
SYM017,Belly Cramps
SYM018,Belly Pain
SYM019,Bleeding
SYM020,Bleeding Conditions
SYM021,Bloating
SYM022,Blood Pressure Becoming Too Low
SYM023,Blood Sugar Screening Tests Or Stool Tests For Hidden Blood
SYM024,Blurred Vision
SYM025,Blurry Vision
SYM026,Breakthrough Bleeding
SYM027,Burning
SYM028,Cancer
SYM029,Cannabinoid Hyperemesis Syndrome
SYM030,Clozapine (Clozaril
SYM031,Confusion
SYM032,Constipation
SYM033,Contraceptive Or Birth Control Medicines
SYM034,Copper Deficiency
SYM035,Coq10
SYM036,Coughing
SYM037,Cyp1A2
SYM038,Cyp3A4 Substrates
SYM039,Daytime Drowsiness
SYM040,Death
SYM041,Deficiency
SYM042,Dehydration
SYM043,Depression Or Make Depression Symptoms Worse
SYM044,Diabetes
SYM045,Diarrhea
SYM046,"Diarrhea, Constipation, And Upset Stomach"
SYM047,Diazepam
SYM048,Diazepam (Valium
SYM049,Difficulty Breathing
SYM050,"Digestive Problems, Such As Nausea, Diarrhea Or Constipation"
SYM051,Diuretics
SYM052,Dizziness
SYM053,Dizziness And Higher Risk Of Falling
SYM054,Drowsiness
SYM055,"Drowsiness, Including Problems Focusing"
SYM056,Dry Mouth
SYM057,Dry Skin
SYM058,Dryness
SYM059,Excessive Perspiration
SYM060,Fainting
