supplement_name,symptom_name,context,description
Acidophilus,Bacterial vaginosis,treats,".Taking acidophilus might help to treat this type of vaginal swelling and irritation, called inflammation. Some studies have found that acidophilus may improve the condition when it's taken as a suppository that's placed in the vagina. It's not clear if it works as well when a person takes it as a pill by mouth or eats yogurt with acidophilus."
Acidophilus,Cold and influenza,treats,.Acidophilus might play a role in lessening how many cold and flu viruses children may get. It also may help shorten how long they have these viruses.
Acidophilus,Some types of diarrhea,treats,".A person might have a reduced chance of having diarrhea related to taking antibiotics, called antibiotic-associated diarrhea, when taking acidophilus along with other specific forms of lactobacillus. It also might lessen diarrhea, bloating and cramps. The probiotic mixture might reduce how often people have diarrhea related to taking antibiotics as well.The probiotic mixture might lessen how much people taking antibiotics have diarrhea related to Clostridioides difficile, called C. difficile, infection. But more research needs to be done. This type of infection can cause symptoms ranging from diarrhea to life-threatening swelling and irritation, called inflammation, of the colon."
Acidophilus,Eczema,treats,".Mothers who take acidophilus by mouth during pregnancy and when breastfeeding and give acidophilus to their babies and young infants might lower their babies' and children's chances of having eczema, called atopic dermatitis. It also may lessen how often the children have eczema or how severe their eczema symptoms are if they have them."
Acidophilus,Constipation,side_effect,Constipation.
Acidophilus,Gas,side_effect,Gas.
Acidophilus,Bloating,side_effect,Bloating.
Acidophilus,Increased Thirst,side_effect,Increased thirst.
Acidophilus,Acidophilus That Has Live Bacteria,side_effect,"If you have a weakened immune system or other health conditions, talk to your healthcare professional before taking a product such as acidophilus that has live bacteria."
Aloe,Burns and wounds,treats,.Putting aloe gel on first- and second-degree burns and wounds may speed healing. There's not enough proof to know if aloe gel helps sunburns heal.
Aloe,Acne,treats,".Research suggests that using aloe gel with the prescription acne medicine tretinoin (Retin-A, Atralin, others) might work better than the acne medicine alone. You put the gel and the medicine on your skin."
Aloe,Psoriasis,treats,.Aloe extract cream might ease symptoms of mild to moderate psoriasis. You might need to use the cream several times a day for a month or more to see your skin get better.
Aloe,Herpes simplex virus,treats,.Putting a cream that has aloe extract on the skin might help sores heal sooner.
Aloe,Oral lichen planus,treats,.This ongoing condition may cause irritated swollen tissues inside the mouth. Research suggests that putting aloe gel on the sores for eight weeks might help ease the symptoms.
Aloe,Constipation,treats,".It's not clear whether taking aloe latex by mouth treats trouble passing stool, called constipation. Aloe latex acts as a laxative. But aloe latex also may cause stomach cramps and loose stools."
Aloe,Short-Term Kidney Failure,side_effect,Taking aloe latex or whole-leaf extract by mouth may be unsafe. It's likely unsafe in high doses. Taking 1 gram a day of aloe latex for a few days can cause short-term kidney failure. It can be fatal.
Aloe,Cancer,side_effect,Aloe latex also might cause cancer. Other side effects include stomach cramps and loose stools. Children younger than age 12 should not take aloe latex and whole-leaf extract by mouth.
Aloe,More Bleeding,interaction,"Anticoagulants and antiplatelet medicines, herbs and supplements.These types of medicines, herbs and supplements slow blood clotting. Taking aloe by mouth also might slow blood clotting. Taking aloe by mouth with these types of medicines might lead to more bleeding."
Aloe,Low Blood Sugar,interaction,"Diabetes medicines.Taking aloe gel by mouth while taking diabetes medicines might raise the risk of low blood sugar, called hypoglycemia."
Aloe,Hypoglycemia,interaction,"Diabetes medicines.Taking aloe gel by mouth while taking diabetes medicines might raise the risk of low blood sugar, called hypoglycemia."
Aloe,Too Much Bleeding During Surgery,interaction,"Sevoflurane (Sojourn, Ultane).This medicine used to cause a sleeplike state during surgery, called anesthesia, may slow blood clotting. Taking aloe by mouth also may slow blood clotting. Taken together, they might cause too much bleeding during surgery."
Aloe,Anesthesia,interaction,"Sevoflurane (Sojourn, Ultane).This medicine used to cause a sleeplike state during surgery, called anesthesia, may slow blood clotting. Taking aloe by mouth also may slow blood clotting. Taken together, they might cause too much bleeding during surgery."
Aloe,Loss Of Fluids,interaction,"Stimulant laxatives.Taking aloe latex with medicines that help move stool through the body might make the bowels work too hard. This can lead to loss of fluids, called dehydration."
Aloe,Dehydration,interaction,"Stimulant laxatives.Taking aloe latex with medicines that help move stool through the body might make the bowels work too hard. This can lead to loss of fluids, called dehydration."
Aloe,Loose Stools,interaction,"Warfarin (Jantoven).Taking aloe latex by mouth can cause loose stools. This can add to the effects of warfarin, a blood-thinning medicine. This can raise the risk of bleeding."
Aloe,Bleeding,interaction,"Warfarin (Jantoven).Taking aloe latex by mouth can cause loose stools. This can add to the effects of warfarin, a blood-thinning medicine. This can raise the risk of bleeding."
Aloe,Diuretics,interaction,"Water pills, also called diuretics.Taking aloe latex by mouth with diuretics might lower the body's potassium levels too much, leading to a condition called hypokalemia."
Aloe,Hypokalemia,interaction,"Water pills, also called diuretics.Taking aloe latex by mouth with diuretics might lower the body's potassium levels too much, leading to a condition called hypokalemia."
Coenzyme Q10,Heart conditions,treats,".CoQ10 may improve congestive heart failure symptoms. Although findings are mixed, CoQ10 might help lower blood pressure. Some research also suggests that when taken with other nutrients, CoQ10 might help people recover from bypass and heart valve surgeries."
Coenzyme Q10,Diabetes,treats,.Some research suggests that CoQ10 may help lower cholesterol in people with diabetes. The effect could lower their heart disease risk.
Coenzyme Q10,Parkinson's disease,treats,.Taking even high doses of CoQ10 doesn't seem to help with Parkinson's disease symptoms.
Coenzyme Q10,Statin-induced myopathy,treats,.Some research suggests that CoQ10 might help ease the muscle weakness and pain that can happen when taking statins. There isn't enough evidence to know for sure.
Coenzyme Q10,Migraines,treats,.Some research suggests CoQ10 might lower how often migraines happen or how long they last. People who get migraines usually have to take the supplement for three months before they may see a benefit.
Coenzyme Q10,Physical performance,treats,".Because CoQ10 helps the body make energy, it's thought this supplement might improve how well the body performs during exercise. But research in this area has not been conclusive."
Coenzyme Q10,"Metabolic dysfunction-associated steatotic liver disease, also called MASLD",treats,.A small research study found that people taking CoQ10 had reduced amounts of fat in their livers compared with people who didn't take CoQ10. More studies are needed.
Coenzyme Q10,Upper Stomach Pain,side_effect,Upper stomach pain.
Coenzyme Q10,Loss Of Appetite,side_effect,Loss of appetite.
Coenzyme Q10,Nausea,side_effect,Nausea.
Coenzyme Q10,Diarrhea,side_effect,Diarrhea.
Coenzyme Q10,Dizziness,side_effect,Dizziness.
Coenzyme Q10,Problems Sleeping,side_effect,Problems sleeping.
Coenzyme Q10,Tiredness,side_effect,Tiredness.
Coenzyme Q10,Headaches,side_effect,Headaches.
Coenzyme Q10,Rash,side_effect,Rash.
Coenzyme Q10,Irritability,side_effect,Irritability.
Coenzyme Q10,Coq10,interaction,"Anticoagulants.Coenzyme Q10, also called CoQ10, might make the blood-thinning medicine warfarin (Jantoven) not work as well. This could raise the risk of a blood clot."
Creatine,"Strength, muscle size and performance",treats,".Oral creatine use might allow an athlete to do more work during reps or sprints, leading to greater gains in strength, muscle mass and performance. Creatine is often used by athletes involved in high-intensity intermittent activities that require a rapid recovery during training and competition."
Creatine,Injury prevention,treats,".Oral creatine might reduce the frequency of dehydration, muscle cramping, and injuries to the muscles, bones, ligaments, tendons and nerves."
Creatine,Rare creatine-metabolizing syndromes,treats,".In children with the certain creatine deficiency syndromes, oral creatine supplements might improve some symptoms."
Creatine,Cognition and brain health,treats,". Creatine supplementation might improve performance during cognitive tasks, especially in older adults."
Creatine,Sarcopenia and bone health,treats,.Creatine supplementation might help counteract age-related declines in skeletal muscle and bone mineral density.
Creatine,Heart failure,treats,.There isn't enough evidence to recommend use of oral creatine as a heart failure treatment.
Creatine,Skin aging,treats,.Early research suggests that a cream containing creatine and other ingredients applied to the face every day for six weeks might reduce skin sag and wrinkles in men. Another study suggests that a cream containing creatine and folic acid improves sun damage and reduces wrinkles.
Creatine,"Weight Gain, Generally As Lean Body Mass",side_effect,"Weight gain, generally as lean body mass"
DHEA,Aging,treats,".In theory, taking DHEA supplements to maintain DHEA levels could slow the aging process, possibly improving well-being, cognitive function and body composition. But so far research hasn't proved this to be true. More studies are needed to better understand whether DHEA supplementation can counteract some of the effects of aging. A small study suggested that taking DHEA supplements might improve skin hydration and firmness, and decrease aging spots in elderly adults."
DHEA,Depression,treats,".DHEA might be more effective at treating depression than placebo, especially in people with low DHEA levels."
DHEA,Osteoporosis,treats,.Study findings on the effects of DHEA supplementation in the treatment of osteoporosis are mixed. More research is needed to determine whether taking DHEA supplements improves bone density in older adults with low DHEA.
DHEA,Vaginal atrophy,treats,.Limited research suggests that DHEA might improve vaginal dryness in postmenopausal women.
DHEA,Hormone-Sensitive Cancers,side_effect,"DHEA is a hormone. Use of this supplement might increase levels of androgen and have a steroid effect. DHEA also might increase the risk of hormone-sensitive cancers, including prostate, breast and ovarian cancers. If you have any form of cancer or are at risk of cancer, don't use DHEA."
DHEA,Cancer,side_effect,"DHEA is a hormone. Use of this supplement might increase levels of androgen and have a steroid effect. DHEA also might increase the risk of hormone-sensitive cancers, including prostate, breast and ovarian cancers. If you have any form of cancer or are at risk of cancer, don't use DHEA."
DHEA,Prostate,side_effect,"DHEA is a hormone. Use of this supplement might increase levels of androgen and have a steroid effect. DHEA also might increase the risk of hormone-sensitive cancers, including prostate, breast and ovarian cancers. If you have any form of cancer or are at risk of cancer, don't use DHEA."
DHEA,Oily Skin,side_effect,"DHEA also might cause oily skin, acne and unwanted, male-pattern hair growth in women (hirsutism)."
DHEA,Clozapine (Clozaril,interaction,"Antipsychotics.Use of DHEA with antipsychotics such as clozapine (Clozaril, Versacloz, others) might reduce the drug's effectiveness."
DHEA,Symptoms Of Excess Estrogen,interaction,"Estrogen.Don't use DHEA with estrogen. Combining DHEA and estrogen might cause symptoms of excess estrogen, such as nausea, headache and insomnia."
DHEA,Nausea,interaction,"Estrogen.Don't use DHEA with estrogen. Combining DHEA and estrogen might cause symptoms of excess estrogen, such as nausea, headache and insomnia."
DHEA,Manic Symptoms,interaction,Selective serotonin reuptake inhibitors.Use of DHEA with this type of antidepressant might cause manic symptoms.
Evening primrose,"Atopic dermatitis,",treats,also called eczema.
Evening primrose,Breast pain,treats,.
Evening primrose,"Diabetic neuropathy,",treats,a type of nerve damage that can be caused by diabetes.
Evening primrose,"Premenstrual syndrome,",treats,also called PMS.
Evening primrose,Upset Stomach,side_effect,Upset stomach.
Evening primrose,Loose Stools,side_effect,Loose stools.
Evening primrose,Headache,side_effect,Headache.
Evening primrose,Seizures,side_effect,"Also, don't take evening primrose if you have epilepsy or schizophrenia. The supplement might raise your risk of seizures."
Evening primrose,Pregnancy Complications,side_effect,Evening primrose oil might raise the risk of pregnancy complications. Some types of evening primrose may act like estrogen. So people with hormone-sensitive cancers also shouldn't take it. It also may raise blood pressure.
Evening primrose,Bleeding,interaction,"Anticoagulants and anti-platelet medicines, herbs and supplements.These types of medicines, herbs and supplements keep blood from clotting. Taking evening primrose while also taking these medicines may raise the risk of bleeding."
Evening primrose,Cyp3A4 Substrates,interaction,"Cytochrome P450 3A4 substrates,also called CYP3A4 substrates. Use evening primrose with care if you take a medicine affected by these enzymes. One such medicine is the cholesterol-lowering lovastatin (Altoprev)."
Evening primrose,Seizures In Some People,interaction,Phenothiazines.These medicines treat serious mental health conditions. Taking evening primrose oil with phenothiazines may raise the risk of seizures in some people.
Fish oil,Heart disease,treats,".While research shows that people who eat dietary sources of fish oil at least twice a week have a lower risk of dying of heart disease, taking fish oil supplements seems to have little to no benefits to heart health."
Fish oil,High blood pressure,treats,.Multiple studies report modest reductions in blood pressure in people who take fish oil supplements. There's some evidence that the beneficial effects of fish oil might be greater for people with moderate to severe high blood pressure than for those with mild blood pressure elevation.
Fish oil,High triglycerides and cholesterol,treats,".There's strong evidence that omega-3 fatty acids can significantly reduce blood triglyceride levels. There also appears to be a slight improvement in high-density lipoprotein (HDL, or ""good"") cholesterol, although an increase in levels of low-density lipoprotein (LDL, or ""bad"") cholesterol also was observed."
Fish oil,Rheumatoid arthritis,treats,".Studies suggest fish oil supplements might help reduce pain, improve morning stiffness and relieve joint tenderness in people with rheumatoid arthritis. While relief is often modest, it might be enough to reduce the need for anti-inflammatory medications."
Fish oil,Mild Side Effects,side_effect,"However, fish oil supplements can cause mild side effects, including:"
Fish oil,A Fishy Aftertaste,side_effect,A fishy aftertaste
Fish oil,Bad Breath,side_effect,Bad breath
Fish oil,"Heartburn, Nausea Or Diarrhea",side_effect,"Heartburn, nausea or diarrhea"
Fish oil,Rash,side_effect,Rash
Fish oil,Bleeding,interaction,"Anticoagulant and antiplatelet drugs, herbs and supplements.These types of drugs, herbs and supplements reduce blood clotting. It's possible that taking fish oil supplements with them might increase the risk of bleeding."
Flaxseed and flaxseed oil,Heart disease,treats,".Some studies suggest that alpha-linolenic acid, which is found in flaxseed and flaxseed oil, might benefit people with heart disease. Some research also suggests that flaxseed and flaxseed oil might help lower high blood pressure, which may help lower the risk of heart disease."
Flaxseed and flaxseed oil,Cholesterol levels,treats,".Several studies have found that taking flaxseed daily can lower total cholesterol and low-density lipoprotein cholesterol, also called LDL cholesterol. LDL is considered the ""bad"" cholesterol."
Flaxseed and flaxseed oil,Diabetes,treats,".Flaxseed might lower blood sugar in people with type 2 diabetes, but studies are mixed. Flaxseed oil has not been found to help lower blood sugar."
Flaxseed and flaxseed oil,Cancer,treats,.The research is mixed on whether flaxseed or flaxseed oil has an effect on cancer.
Flaxseed and flaxseed oil,Menopausal symptoms,treats,".Research results are mixed when it comes to the use of flaxseed to treat symptoms of menopause, including hot flashes."
Flaxseed and flaxseed oil,Constipation,treats,.Some studies have shown flaxseed to be helpful in easing constipation.
Flaxseed and flaxseed oil,Bloating,side_effect,Bloating.
Flaxseed and flaxseed oil,Gas,side_effect,Gas.
Flaxseed and flaxseed oil,Diarrhea,side_effect,Diarrhea.
Flaxseed and flaxseed oil,Bleeding,interaction,"Anticoagulant and antiplatelet medicines.These medicines lower the blood's ability to clot. Flaxseed also might lessen blood clotting. Because of that, it's possible that taking flaxseed or flaxseed oil along with anticoagulant or antiplatelet medicines might raise the risk of bleeding."
Folate (folic acid),Birth defects,treats,".Folic acid supplements can prevent birth defects that affect the brain and spinal cord. Taking a daily prenatal vitamin can help make sure you get enough folic acid. If you plan to get pregnant, take the supplement at least one month before trying to get pregnant and until at least 12 weeks into pregnancy."
Folate (folic acid),Folate deficiency,treats,".Take a folic acid supplement if you have trouble absorbing or getting enough folate in your diet. Many countries add folic acid to foods, such as cereals and pasta. So most people rarely need to take folic acid supplements."
Folate (folic acid),Heart and blood vessel disease and stroke,treats,".Folic acid works with vitamins B-6 and B-12 to control high levels of homocysteine in the blood. Too-high homocysteine levels might raise your risk of heart and blood vessel conditions, also called cardiovascular disease. Taking folic acid supplements also may lower your stroke risk."
Folate (folic acid),Cancer,treats,.Some research suggests that folate might lower the risk of various cancers.
Folate (folic acid),Depression,treats,.Some evidence suggests that folic acid might be a helpful supplement in treating depression.
Folate (folic acid),Dementia,treats,.There isn't enough evidence to support taking folic acid to prevent dementia.
Folate (folic acid),Autism spectrum disorder,treats,.Some research suggests that taking folic acid when pregnant may help lower the risk of autism spectrum disorder in the child.
Folate (folic acid),A Bitter Taste In The Mouth,side_effect,A bitter taste in the mouth.
Folate (folic acid),Nausea,side_effect,Nausea.
Folate (folic acid),Loose Stools,side_effect,Loose stools.
Folate (folic acid),Confusion,side_effect,Confusion.
Folate (folic acid),Irritability,side_effect,Irritability.
Folate (folic acid),Trouble Sleeping,side_effect,Trouble sleeping.
Folate (folic acid),Stomach Cramps,side_effect,Stomach cramps.
Folate (folic acid),Skin Rash,side_effect,Skin rash.
Folate (folic acid),Itching,side_effect,Itching.
Folate (folic acid),"Skin Color Changes, Such As Purple Or Brown Depending On Your Skin Color",side_effect,"Skin color changes, such as purple or brown depending on your skin color."
Folate (folic acid),Difficulty Breathing,side_effect,Difficulty breathing.
Ginkgo,Dementia,treats,.Some research shows that ginkgo may ease symptoms of dementia. But it doesn't prevent or slow the progress of dementia.
Ginkgo,Claudication,treats,.Some small studies show that ginkgo may help people walk longer without pain. But large studies haven't shown that ginkgo helps.
Ginkgo,Headache,side_effect,Headache.
Ginkgo,Low Salt Levels,side_effect,Low salt levels.
Ginkgo,Bleeding,side_effect,Bleeding.
Ginkgo,Dizziness,side_effect,Dizziness.
Ginkgo,"The Feeling Of The Heart Pounding Or Racing, Called Palpitations",side_effect,"The feeling of the heart pounding or racing, called palpitations."
Ginkgo,Upset Stomach,side_effect,Upset stomach.
Ginkgo,"Trouble Passing Stool, Called Constipation",side_effect,"Trouble passing stool, called constipation."
Ginkgo,Skin Allergies,side_effect,Skin allergies.
Ginkgo,Seizures,side_effect,"For people who have epilepsy or any type of seizure, large amounts of ginkgo may raise the risk of seizures."
Ginkgo,Bleeding,side_effect,"If you are older, have a bleeding condition, or are pregnant, don't take ginkgo. The supplement might raise the risk of bleeding. If you're having surgery, stop taking ginkgo two weeks before the surgery."
Ginkgo,Getting Liver And Thyroid Cancers,side_effect,Some research has shown that giving rodents ginkgo raises their risk of getting liver and thyroid cancers.
Ginkgo,Bleeding,interaction,"Anticoagulants and antiplatelet drugs, herbs and supplements.These types of medicines, herbs and supplements lessen blood clotting. Taking ginkgo with them might raise the risk of bleeding."
Ginkgo,Seizures,interaction,"Anticonvulsants and seizure threshold-lowering medicines, herbs and supplements.Large amounts of ginkgo can cause seizures. Taking ginkgo could keep an anticonvulsant medicine from working as well."
Ginkgo,Fluoxetine,interaction,"Antidepressants.Taking ginkgo with certain antidepressants, such as fluoxetine (Prozac), might keep them from working as well."
Glucosamine,Osteoarthritis,treats,".Oral use of glucosamine sulfate might provide some pain relief for people with osteoarthritis of the knee. Some research shows that it may also help slow knee joint degeneration associated with osteoarthritis. More studies are needed to determine the benefits of glucosamine sulfate supplements for osteoarthritis of the hip, spine or hand."
Glucosamine,Rheumatoid arthritis,treats,".Early research suggests that oral use of glucosamine hydrochloride might reduce pain related to rheumatoid arthritis. However, researchers didn't see an improvement in inflammation or the number of painful or swollen joints."
Glucosamine,Nausea,side_effect,Nausea
Glucosamine,Heartburn,side_effect,Heartburn
Glucosamine,Diarrhea,side_effect,Diarrhea
Glucosamine,Constipation,side_effect,Constipation
Glucosamine,Drowsiness,side_effect,Drowsiness
Glucosamine,Skin Reactions,side_effect,Skin reactions
Glucosamine,Headache,side_effect,Headache
Glucosamine,Bleeding,interaction,Warfarin (Jantoven).Taking glucosamine alone or in combination with the supplement chondroitin might increase the effects of the anticoagulant warfarin. This can increase your risk of bleeding.
Honey,Cardiovascular disease,treats,.Antioxidants in honey might be associated with reduced risk of heart disease.
Honey,Cough,treats,".Studies suggest that eucalyptus honey, citrus honey and labiatae honey can act as a reliable cough suppressant for some people with upper respiratory infections and acute nighttime cough."
Honey,Gastrointestinal disease,treats,.Evidence suggests honey might help relieve gastrointestinal tract conditions such as diarrhea associated with gastroenteritis. Honey might also be effective as part of oral rehydration therapy.
Honey,Neurological disease,treats,".Studies suggest that honey might offer antidepressant, anticonvulsant and anti-anxiety benefits. In some studies, honey has been shown to help prevent memory disorders."
Honey,Wound care,treats,".Topical use of medical-grade honey has been shown to promote wound healing, particularly in burns."
Honey,Serious,side_effect,"Some people are sensitive or allergic to specific components in honey, particularly bee pollen. Although rare, bee pollen allergies can cause serious, and sometimes fatal, adverse reactions. Signs and symptoms of a reaction include:"
Honey,Wheezing And Other Asthmatic Symptoms,side_effect,Wheezing and other asthmatic symptoms
Honey,Dizziness,side_effect,Dizziness
Honey,Nausea,side_effect,Nausea
Honey,Vomiting,side_effect,Vomiting
Honey,Weakness,side_effect,Weakness
Honey,Excessive Perspiration,side_effect,Excessive perspiration
Honey,Fainting,side_effect,Fainting
Honey,Irregular Heart Rhythms,side_effect,Irregular heart rhythms (arrhythmias)
Honey,Stinging After Topical Application,side_effect,Stinging after topical application
L-arginine,Angina,treats,.Studies suggest that L-arginine might decrease symptoms and improve quality of life in people with a mild to severe form of this type of chest pain.
L-arginine,High blood pressure (hypertension),treats,".Some research has shown that oral L-arginine can lower blood pressure in healthy people, people with mild blood pressure elevation and diabetes, and in people with a type of high blood pressure that affects the arteries in the lungs and the right side of the heart (pulmonary hypertension). Infusions of L-arginine also appear to lower blood pressure in people with hypertension."
L-arginine,High blood pressure during pregnancy,treats,.Some studies show that L-arginine infusions may lower blood pressure in pregnant women who develop high blood pressure.
L-arginine,Preeclampsia,treats,.L-arginine infusions may lower blood pressure in women with this pregnancy complication. Some research shows that taking oral L-arginine might help prevent preeclampsia in pregnant women.
L-arginine,Erectile dysfunction,treats,.Taking oral L-arginine might improve sexual function in men with erectile dysfunction due to a physical cause.
L-arginine,Peripheral arterial disease (PAD),treats,".When taken orally or by infusion for a short period of time, L-arginine may improve symptoms and blood flow in people with this circulatory condition."
L-arginine,"Nausea, Abdominal Pain And Diarrhea",side_effect,"Nausea, abdominal pain and diarrhea"
L-arginine,Bloating,side_effect,Bloating
L-arginine,Gout,side_effect,Gout
L-arginine,Headache,side_effect,Headache
L-arginine,Allergic Response,side_effect,Allergic response
L-arginine,Airway Inflammation Or Worsening Of Asthma Symptoms,side_effect,Airway inflammation or worsening of asthma symptoms
L-arginine,Death,side_effect,L-arginine isn't recommended for people who have had a recent heart attack due to concerns that the supplement might increase the risk of death.
L-arginine,Bleeding,interaction,"Anticoagulants and anti-platelet drugs, herbs and supplements.These types of drugs, herbs and supplements reduce blood clotting. Taking L-arginine with them might increase the risk of bleeding."
L-arginine,Blood Pressure Becoming Too Low,interaction,"Blood pressure drugs, herbs and supplements.L-arginine might lower blood pressure in people who have high blood pressure. Combining use of L-arginine with a blood pressure drug, herb or supplement might increase the risk of blood pressure becoming too low."
L-arginine,Your Blood Pressure To Become Too Low,interaction,Isoproterenol (Isuprel).Use of this heart medication with L-arginine might cause your blood pressure to become too low.
L-arginine,Your Blood Pressure To Become Too Low,interaction,Nitrates.Use of this chest pain medication with L-arginine might cause your blood pressure to become too low.
L-arginine,Your Blood Pressure To Become Too Low,interaction,"Sildenafil (Revatio, Viagra).Use of this erectile dysfunction medication with L-arginine might cause your blood pressure to become too low."
Marijuana,Glaucoma,treats,".Some studies show that cannabis lowers blood flow to the nerve that helps people see. This could raise the risk of vision changes in people with an eye disease that damages the nerve to the eyes, called glaucoma. But cannabis might lower the higher eye pressures this eye condition causes, which could be helpful. The effect doesn't seem to last more than a few hours. It likely doesn't work as well as other glaucoma treatments."
Marijuana,Nausea and vomiting related to cancer treatment,treats,".Research has shown that THC helps lessen nausea and vomiting in people receiving chemotherapy. If standard medicines for nausea don't work, using THC products may help some people."
Marijuana,Pain,treats,.Cannabis might lower the intensity of shooting or burning pain often due to nerve damage. This type of pain is known as neuropathic pain. People with conditions such as HIV and diabetes may have this type of pain.
Marijuana,Seizures,treats,".It's not clear whether cannabis can treat seizures. Some people with conditions that cause childhood seizures, such as Lennox-Gastaut syndrome or Dravet syndrome, may take a prescription form of cannabidiol, also called CBD, by mouth to treat seizures."
