category_id,category
C00001,"Amino Acids, Peptides, and Proteins"
C00002,Anticoagulants
C00003,Antithrombin Proteins
C00004,Antithrombins
C00005,Blood and Blood Forming Organs
C00006,Cardiovascular Agents
C00007,Enzyme Inhibitors
C00008,Fibrin Modulating Agents
C00009,Hematologic Agents
C00010,Peptides
C00011,Protease Inhibitors
C00012,Proteins
C00013,Serine Protease Inhibitors
C00014,Serpins
C00015,Thrombin Inhibitors
C00016,Antibodies
C00017,"Antibodies, Monoclonal"
C00018,"Antibodies, Monoclonal, Humanized"
C00019,Antineoplastic Agents
C00020,"Antineoplastic Agents, Immunological"
C00021,Antineoplastic and Immunomodulating Agents
C00022,Blood Proteins
C00023,Cancer immunotherapy
C00024,EGFR (Epidermal Growth Factor Receptor) inhibitors
C00025,Epidermal Growth Factor Receptor Antagonist
C00026,Globulins
C00027,HER1 Antagonists
C00028,Immunoglobulins
C00029,Immunoproteins
C00030,Immunotherapy
C00031,Monoclonal antibodies and antibody drug conjugates
C00032,Narrow Therapeutic Index Drugs
C00033,Serum Globulins
C00034,Cough and Cold Preparations
C00035,Decreased Respiratory Secretion Viscosity
C00036,Deoxyribonucleases
C00037,Endodeoxyribonucleases
C00038,Endonucleases
C00039,Enzymes
C00040,Enzymes and Coenzymes
C00041,Esterases
C00042,Expectorants
C00043,Hydrolases
C00044,Recombinant Human Deoxyribonuclease 1
C00045,ADP Ribose Transferases
C00046,Bacterial Toxins
C00047,Biological Factors
C00048,CD25-directed Cytotoxin
C00049,Cytotoxins
C00050,Intercellular Signaling Peptides and Proteins
C00051,Interleukins
C00052,Recombinant Fusion Proteins
C00053,Recombinant Proteins
C00054,"Toxins, Biological"
C00055,Agents reducing cytokine levels
C00056,Anti-Inflammatory Agents
C00057,Antirheumatic Agents
C00058,Biological Products
C00059,Biologics for Rheumatoid Arthritis Treatment
C00060,Dermatologicals
C00061,Disease-modifying Antirheumatic Agents
C00062,Immunoglobulin Constant Regions
C00063,Immunoglobulin Fc Fragments
C00064,Immunoglobulin Fragments
C00065,Immunoglobulin Isotypes
C00066,Immunologic Factors
C00067,Immunosuppressive Agents
C00068,Membrane Proteins
C00069,Tumor necrosis factor alpha (TNF-alpha) inhibitors
C00070,Tumor Necrosis Factor Blockers
C00071,Adrenal Cortex Hormones
C00072,Agents Causing Muscle Toxicity
C00073,"Antineoplastic Agents, Hormonal"
C00074,Drugs causing inadvertant photosensitivity
C00075,Drugs that are Mainly Renally Excreted
C00076,Endocrine Therapy
C00077,Fertility Agents
C00078,"Fertility Agents, Female"
C00079,Gonadotropin Releasing Hormone Receptor Agonist
C00080,Gonadotropin Releasing Hormone Receptor Agonists
C00081,Gonadotropin-releasing hormone agonist
C00082,Gonadotropins
C00083,Hormones and Related Agents
C00084,Hyperglycemia-Associated Agents
C00085,Hypothalamic Hormones
C00086,Moderate Risk QTc-Prolonging Agents
C00087,Nerve Tissue Proteins
C00088,Neuropeptides
C00089,Oligopeptides
C00090,Photosensitizing Agents
C00091,Pituitary Hormone-Releasing Hormones
C00092,QTc Prolonging Agents
C00093,Reproductive Control Agents
C00094,"Adjuvants, Immunologic"
C00095,Alcohols
C00096,Alfa Interferons
C00097,Anti-Infective Agents
C00098,Antiviral Agents
C00099,Cardiotoxic antineoplastic agents
C00100,"Compounds used in a research, industrial, or household setting"
C00101,Cytochrome P-450 CYP1A2 Inhibitors
C00102,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
C00103,Cytochrome P-450 Enzyme Inhibitors
C00104,Cytokines
C00105,Drug Carriers
C00106,Ethylene Glycols
C00107,Glycols
C00108,Hepatotoxic Agents
C00109,Interferon alpha
C00110,Interferon Type I
C00111,Interferons
C00112,Macromolecular Substances
C00113,Myelosuppressive Agents
C00114,Pegylated agents
C00115,Polymers
C00116,Treatments for Hepatitis C
C00117,Agents causing angioedema
C00118,Endopeptidases
C00119,Fibrinolytic Agents
C00120,Ophthalmologicals
C00121,Peptide Hydrolases
C00122,Plasminogen Activators
C00123,Sensory Organs
C00124,Serine Endopeptidases
C00125,Serine Proteases
C00126,Tissue Plasminogen Activator
C00127,"Tissue Plasminogen Activator, antagonists & inhibitors"
C00128,Anterior Pituitary Lobe Hormones and Analogues
C00129,Diagnostic Agents
C00130,Growth Hormone-Releasing Hormone
C00131,Hormones
C00132,"Hormones, Hormone Substitutes, and Hormone Antagonists"
C00133,Peptide Hormones
C00134,Pituitary and Hypothalamic Hormones and Analogues
C00135,Somatropin and Somatropin Agonists
C00136,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
C00137,Tests for Pituitary Function
C00138,Antianemic Preparations
C00139,Carbohydrates
C00140,Colony-Stimulating Factors
C00141,Erythropoiesis-Stimulating Agents
C00142,Glycoconjugates
C00143,Glycoproteins
C00144,Hematinics
C00145,Hematopoietic Cell Growth Factors
C00146,Increased Erythroid Cell Production
C00147,Increased Thrombolysis
C00148,"Urokinase-Type Plasminogen Activator, antagonists & inhibitors"
C00149,Gonadotropins and Antigonadotropins
C00150,Miscellaneous Therapeutic Agents
C00151,"Erythropoietin, genetics"
C00152,Bone Density Conservation Agents
C00153,"Bone Density, drug effects"
C00154,Calcitonin Preparations
C00155,Calcium Homeostasis
C00156,Calcium-Regulating Hormones and Agents
C00157,Parathyroid and Antiparathyroid Agents
C00158,Parathyroid Hormones and Analogues
C00159,Thyroid Products
C00160,Interferon-alpha
C00161,Complex Mixtures
C00162,Granulocyte Colony-Stimulating Factors
C00163,Increased Myeloid Cell Production
C00164,Leukocyte Growth Factor
C00165,Granulocyte-Macrophage Colony-Stimulating Factor
C00166,Cytochrome P-450 CYP2C9 Inducers
C00167,Cytochrome P-450 CYP2C9 Inducers (weak)
C00168,Cytochrome P-450 CYP2D6 Inhibitors
C00169,Cytochrome P-450 CYP2D6 Inhibitors (weak)
C00170,Cytochrome P-450 Enzyme Inducers
C00171,Hepatitis C
C00172,Amidohydrolases
C00173,Asparaginase
C00174,Asparagine-specific Enzyme
C00175,Thyroxine-binding globulin inhibitors
C00176,Agents used to treat hypothyroidism
C00177,Pituitary Hormones
C00178,"Pituitary Hormones, Anterior"
C00179,Blood Coagulation Factors
C00180,Disaccharides
C00181,Hemophilia A
C00182,Hemostatics
C00183,Human Antihemophilic Factors
C00184,Increased Coagulation Activity
C00185,Oligosaccharides
C00186,Polysaccharides
C00187,Protein Precursors
C00188,Interleukin Inhibitors
C00189,Interleukin-1 Receptor Antagonist
C00190,Anti-Bacterial Agents
C00191,"Anti-Infective Agents, Local"
C00192,P-glycoprotein inhibitors
C00193,P-glycoprotein substrates
C00194,"Peptides, Cyclic"
C00195,Pore Forming Cytotoxic Proteins
C00196,Throat Preparations
C00197,Antigen Neutralization
C00198,Human Immunoglobulin G
C00199,Immunoglobulin G
C00200,"Immunoglobulins, Intravenous"
