drug_id,category_id
DB00001,C00001
DB00001,C00002
DB00001,C00003
DB00001,C00004
DB00001,C00005
DB00001,C00006
DB00001,C00007
DB00001,C00008
DB00001,C00009
DB00001,C00010
DB00001,C00011
DB00001,C00012
DB00001,C00013
DB00001,C00014
DB00001,C00015
DB00002,C00001
DB00002,C00016
DB00002,C00017
DB00002,C00018
DB00002,C00019
DB00002,C00020
DB00002,C00021
DB00002,C00022
DB00002,C00023
DB00002,C00024
DB00002,C00025
DB00002,C00026
DB00002,C00027
DB00002,C00028
DB00002,C00029
DB00002,C00030
DB00002,C00031
DB00002,C00032
DB00002,C00012
DB00002,C00033
DB00003,C00001
DB00003,C00034
DB00003,C00035
DB00003,C00036
DB00003,C00037
DB00003,C00038
DB00003,C00039
DB00003,C00040
DB00003,C00041
DB00003,C00042
DB00003,C00043
DB00003,C00012
DB00003,C00044
DB00004,C00045
DB00004,C00001
DB00004,C00019
DB00004,C00021
DB00004,C00046
DB00004,C00047
DB00004,C00023
DB00004,C00048
DB00004,C00049
DB00004,C00040
DB00004,C00030
DB00004,C00050
DB00004,C00051
DB00004,C00032
DB00004,C00010
DB00004,C00012
DB00004,C00052
DB00004,C00053
DB00004,C00054
DB00005,C00055
DB00005,C00001
DB00005,C00056
DB00005,C00016
DB00005,C00057
DB00005,C00058
DB00005,C00059
DB00005,C00060
DB00005,C00061
DB00005,C00062
DB00005,C00063
DB00005,C00064
DB00005,C00065
DB00005,C00066
DB00005,C00029
DB00005,C00067
DB00005,C00068
DB00005,C00010
DB00005,C00012
DB00005,C00069
DB00005,C00070
DB00006,C00001
DB00006,C00002
DB00006,C00004
DB00006,C00005
DB00006,C00007
DB00006,C00009
DB00006,C00010
DB00006,C00011
DB00006,C00013
DB00006,C00015
DB00007,C00071
DB00007,C00072
DB00007,C00001
DB00007,C00019
DB00007,C00073
DB00007,C00021
DB00007,C00074
DB00007,C00075
DB00007,C00076
DB00007,C00077
DB00007,C00078
DB00007,C00079
DB00007,C00080
DB00007,C00081
DB00007,C00082
DB00007,C00083
DB00007,C00084
DB00007,C00085
DB00007,C00086
DB00007,C00087
DB00007,C00088
DB00007,C00089
DB00007,C00010
DB00007,C00090
DB00007,C00091
DB00007,C00012
DB00007,C00092
DB00007,C00093
DB00008,C00094
DB00008,C00095
DB00008,C00096
DB00008,C00001
DB00008,C00097
DB00008,C00019
DB00008,C00021
DB00008,C00098
DB00008,C00047
DB00008,C00099
DB00008,C00100
DB00008,C00101
DB00008,C00102
DB00008,C00103
DB00008,C00104
DB00008,C00105
DB00008,C00106
DB00008,C00107
DB00008,C00108
DB00008,C00067
DB00008,C00050
DB00008,C00109
DB00008,C00110
DB00008,C00111
DB00008,C00112
DB00008,C00113
DB00008,C00032
DB00008,C00114
DB00008,C00010
DB00008,C00115
DB00008,C00012
DB00008,C00116
DB00009,C00117
DB00009,C00001
DB00009,C00002
DB00009,C00005
DB00009,C00022
DB00009,C00006
DB00009,C00118
DB00009,C00039
DB00009,C00040
DB00009,C00008
DB00009,C00119
