drug_id,drug_name,drug_class,nutrient_name,nutrient_id,interaction
DB00542,Benazepril,ACE_Inhibitors,Zinc,N007,depletes
DB01197,Captopril,ACE_Inhibitors,Zinc,N007,depletes
DB00584,Enalapril,ACE_Inhibitors,Zinc,N007,depletes
DB00722,Lisinopril,ACE_Inhibitors,Zinc,N007,depletes
DB00881,Quinapril,ACE_Inhibitors,Zinc,N007,depletes
DB00178,Ramipril,ACE_Inhibitors,Zinc,N007,depletes
DB01029,Irbesartan,ARBs,Potassium,N010,increases_level
DB00678,Losartan,ARBs,Potassium,N010,increases_level
DB00275,Olmesartan,ARBs,Potassium,N010,increases_level
DB00966,Telmisartan,ARBs,Potassium,N010,increases_level
DB00177,Valsartan,ARBs,Potassium,N010,increases_level
DB01306,Insulin aspart,Diabetes,Potassium,N010,redistributes
DB01307,Insulin detemir,Diabetes,Potassium,N010,redistributes
DB00047,Insulin glargine,Diabetes,Potassium,N010,redistributes
DB01309,Insulin glulisine,Diabetes,Potassium,N010,redistributes
DB00030,Insulin human,Diabetes,Potassium,N010,redistributes
DB00046,Insulin lispro,Diabetes,Potassium,N010,redistributes
DB00331,Metformin,Diabetes,Vitamin B12,N001,depletes
DB00887,Bumetanide,Diuretics,Potassium,N010,depletes
DB00887,Bumetanide,Diuretics,Magnesium,N009,depletes
DB00887,Bumetanide,Diuretics,Calcium,N006,depletes
DB00310,Chlorthalidone,Diuretics,Potassium,N010,depletes
DB00310,Chlorthalidone,Diuretics,Magnesium,N009,depletes
DB00310,Chlorthalidone,Diuretics,Sodium,NEW,depletes
DB00695,Furosemide,Diuretics,Potassium,N010,depletes
DB00695,Furosemide,Diuretics,Magnesium,N009,depletes
DB00695,Furosemide,Diuretics,Calcium,N006,depletes
DB00695,Furosemide,Diuretics,Thiamine(Vitamin B1),N017,depletes
DB00695,Furosemide,Diuretics,Sodium,NEW,depletes
DB00999,Hydrochlorothiazide,Diuretics,Potassium,N010,depletes
DB00999,Hydrochlorothiazide,Diuretics,Magnesium,N009,depletes
DB00999,Hydrochlorothiazide,Diuretics,Zinc,N007,depletes
DB00999,Hydrochlorothiazide,Diuretics,CoQ10,N002,depletes
DB00537,Ciprofloxacin,Fluoroquinolones,Calcium,N006,interferes_with_absorption
DB00537,Ciprofloxacin,Fluoroquinolones,Iron,N003,interferes_with_absorption
DB00537,Ciprofloxacin,Fluoroquinolones,Zinc,N007,interferes_with_absorption
DB00537,Ciprofloxacin,Fluoroquinolones,Magnesium,N009,interferes_with_absorption
DB00537,Ciprofloxacin,Fluoroquinolones,Copper,N016,interferes_with_absorption
DB00537,Ciprofloxacin,Fluoroquinolones,Thiamine (Vitamin B1),N017,depletes
DB00537,Ciprofloxacin,Fluoroquinolones,Vitamin B6 (Pyridoxine),N018,depletes
DB00537,Ciprofloxacin,Fluoroquinolones,Vitamin B12,N001,depletes
DB00537,Ciprofloxacin,Fluoroquinolones,Folate (folic acid),N013,depletes
DB00537,Ciprofloxacin,Fluoroquinolones,Vitamin K,N008,depletes
DB01137,Levofloxacin,Fluoroquinolones,Calcium,N006,interferes_with_absorption
DB01137,Levofloxacin,Fluoroquinolones,Iron,N003,interferes_with_absorption
DB01137,Levofloxacin,Fluoroquinolones,Zinc,N007,interferes_with_absorption
DB01137,Levofloxacin,Fluoroquinolones,Magnesium,N009,interferes_with_absorption
DB01137,Levofloxacin,Fluoroquinolones,Thiamine (Vitamin B1),N017,depletes
