drug_id,salt_id
DB00007,SAL0001
DB00007,SAL0002
DB00010,SAL0003
DB00014,SAL0004
DB00030,SAL0005
DB00030,SAL0006
DB00035,SAL0007
DB00035,SAL0008
DB00040,SAL0009
DB00050,SAL0010
DB00067,SAL0011
DB00071,SAL0012
DB00071,SAL0013
DB00071,SAL0014
DB00071,SAL0015
DB00078,SAL0016
DB00078,SAL0017
DB00104,SAL0018
DB00104,SAL0019
DB00104,SAL0020
DB00114,SAL0021
DB00117,SAL0022
DB00117,SAL0023
DB00118,SAL0024
DB00118,SAL0025
DB00118,SAL0026
DB00118,SAL0027
DB00118,SAL0028
DB00119,SAL0029
DB00119,SAL0030
DB00119,SAL0031
DB00120,SAL0032
DB00120,SAL0033
DB00122,SAL0034
DB00122,SAL0035
DB00123,SAL0036
DB00123,SAL0037
DB00123,SAL0038
DB00123,SAL0039
DB00125,SAL0040
DB00125,SAL0041
DB00127,SAL0042
DB00129,SAL0043
DB00129,SAL0044
DB00129,SAL0045
DB00129,SAL0046
DB00130,SAL0047
DB00134,SAL0048
DB00139,SAL0049
DB00140,SAL0050
DB00142,SAL0051
DB00146,SAL0052
DB00147,SAL0053
DB00148,SAL0054
DB00149,SAL0055
DB00151,SAL0056
DB00152,SAL0057
DB00152,SAL0058
DB00152,SAL0059
DB00154,SAL0060
DB00155,SAL0061
DB00158,SAL0062
DB00159,SAL0063
DB00162,SAL0064
DB00162,SAL0065
DB00165,SAL0066
DB00171,SAL0067
DB00171,SAL0068
DB00173,SAL0069
DB00173,SAL0070
DB00175,SAL0071
DB00176,SAL0072
DB00180,SAL0073
DB00181,SAL0074
DB00182,SAL0075
DB00182,SAL0076
DB00182,SAL0077
DB00182,SAL0078
DB00184,SAL0079
DB00184,SAL0080
DB00185,SAL0081
DB00185,SAL0082
DB00187,SAL0083
DB00190,SAL0084
DB00191,SAL0085
DB00192,SAL0086
DB00193,SAL0087
DB00195,SAL0088
DB00198,SAL0089
DB00199,SAL0090
DB00199,SAL0091
DB00199,SAL0092
DB00199,SAL0093
DB00199,SAL0094
DB00199,SAL0095
DB00199,SAL0096
DB00199,SAL0097
DB00200,SAL0098
DB00201,SAL0099
DB00202,SAL0100
DB00202,SAL0101
DB00203,SAL0102
DB00205,SAL0103
DB00207,SAL0104
DB00207,SAL0105
DB00207,SAL0106
DB00208,SAL0107
DB00209,SAL0108
DB00211,SAL0109
DB00213,SAL0110
DB00213,SAL0111
DB00213,SAL0112
DB00213,SAL0113
DB00215,SAL0114
DB00216,SAL0115
DB00216,SAL0116
DB00217,SAL0117
DB00218,SAL0118
DB00218,SAL0119
DB00219,SAL0120
DB00220,SAL0121
DB00221,SAL0122
DB00221,SAL0123
DB00223,SAL0124
DB00224,SAL0125
DB00224,SAL0126
DB00224,SAL0127
DB00225,SAL0128
DB00226,SAL0129
DB00229,SAL0130
DB00231,SAL0131
DB00231,SAL0132
DB00233,SAL0133
DB00233,SAL0134
DB00233,SAL0135
DB00233,SAL0136
DB00233,SAL0137
DB00234,SAL0138
DB00235,SAL0139
DB00237,SAL0140
DB00238,SAL0141
DB00239,SAL0142
DB00240,SAL0143
DB00241,SAL0144
DB00243,SAL0145
DB00245,SAL0146
DB00246,SAL0147
DB00246,SAL0148
DB00247,SAL0149
DB00252,SAL0150
DB00254,SAL0151
DB00254,SAL0152
DB00254,SAL0153
DB00254,SAL0154
DB00255,SAL0155
DB00255,SAL0156
DB00258,SAL0157
DB00261,SAL0158
DB00261,SAL0159
DB00263,SAL0160
DB00264,SAL0161
DB00264,SAL0162
DB00264,SAL0163
DB00267,SAL0164
DB00268,SAL0165
DB00271,SAL0166
DB00271,SAL0167
DB00271,SAL0168
DB00272,SAL0169
DB00273,SAL0170
DB00273,SAL0171
DB00273,SAL0172
DB00274,SAL0173
DB00275,SAL0174
DB00276,SAL0175
DB00276,SAL0176
DB00276,SAL0177
DB00277,SAL0178
DB00278,SAL0179
DB00279,SAL0180
DB00280,SAL0181
DB00281,SAL0182
DB00281,SAL0183
DB00282,SAL0184
DB00283,SAL0185
DB00285,SAL0186
DB00285,SAL0187
DB00289,SAL0188
DB00290,SAL0189
DB00290,SAL0190
DB00293,SAL0191
DB00295,SAL0192
DB00295,SAL0193
DB00295,SAL0194
DB00295,SAL0195
DB00295,SAL0196
DB00295,SAL0197
DB00295,SAL0198
DB00295,SAL0199
DB00295,SAL0200
DB00296,SAL0201
DB00296,SAL0202
DB00297,SAL0203
DB00297,SAL0204
DB00298,SAL0205
DB00299,SAL0206
DB00300,SAL0207
DB00300,SAL0208
DB00300,SAL0209
DB00300,SAL0210
DB00301,SAL0211
DB00303,SAL0212
DB00308,SAL0213
DB00309,SAL0214
DB00312,SAL0215
DB00313,SAL0216
DB00313,SAL0217
DB00313,SAL0218
DB00314,SAL0219
DB00318,SAL0220
DB00318,SAL0221
DB00318,SAL0222
DB00318,SAL0223
DB00318,SAL0224
DB00318,SAL0225
DB00318,SAL0226
DB00319,SAL0227
DB00320,SAL0228
DB00320,SAL0229
DB00321,SAL0230
DB00321,SAL0231
DB00324,SAL0232
DB00325,SAL0233
DB00327,SAL0234
DB00327,SAL0235
DB00328,SAL0236
DB00330,SAL0237
DB00331,SAL0238
DB00332,SAL0239
DB00332,SAL0240
DB00332,SAL0241
DB00333,SAL0242
DB00334,SAL0243
DB00334,SAL0244
DB00334,SAL0245
DB00338,SAL0246
DB00338,SAL0247
DB00340,SAL0248
DB00341,SAL0249
DB00343,SAL0250
DB00343,SAL0251
DB00343,SAL0252
DB00344,SAL0253
DB00345,SAL0254
DB00346,SAL0255
DB00350,SAL0256
DB00352,SAL0257
DB00353,SAL0258
DB00353,SAL0259
DB00354,SAL0260
DB00355,SAL0261
DB00358,SAL0262
DB00359,SAL0263
DB00360,SAL0264
DB00361,SAL0265
DB00363,SAL0266
DB00365,SAL0267
DB00366,SAL0268
DB00368,SAL0269
DB00369,SAL0270
DB00370,SAL0271
DB00370,SAL0272
DB00372,SAL0273
DB00372,SAL0274
DB00373,SAL0275
DB00373,SAL0276
DB00374,SAL0277
DB00374,SAL0278
DB00375,SAL0279
DB00376,SAL0280
DB00377,SAL0281
DB00379,SAL0282
DB00380,SAL0283
DB00381,SAL0284
DB00381,SAL0285
DB00381,SAL0286
DB00381,SAL0287
DB00381,SAL0288
DB00381,SAL0289
DB00382,SAL0290
DB00383,SAL0291
DB00387,SAL0292
DB00388,SAL0293
DB00388,SAL0294
DB00388,SAL0295
DB00392,SAL0296
DB00394,SAL0297
DB00397,SAL0298
DB00398,SAL0299
DB00399,SAL0300
DB00399,SAL0301
DB00399,SAL0302
DB00399,SAL0303
DB00399,SAL0304
DB00403,SAL0305
DB00405,SAL0306
DB00406,SAL0307
DB00408,SAL0308
DB00408,SAL0309
DB00409,SAL0310
DB00410,SAL0311
DB00411,SAL0312
DB00412,SAL0313
DB00413,SAL0314
DB00413,SAL0315
DB00415,SAL0316
DB00415,SAL0317
DB00417,SAL0318
DB00417,SAL0319
DB00418,SAL0320
DB00419,SAL0321
DB00420,SAL0322
DB00422,SAL0323
DB00424,SAL0324
DB00424,SAL0325
DB00424,SAL0326
DB00425,SAL0327
DB00427,SAL0328
DB00427,SAL0329
DB00430,SAL0330
DB00433,SAL0331
DB00433,SAL0332
DB00433,SAL0333
DB00434,SAL0334
DB00437,SAL0335
DB00438,SAL0336
DB00438,SAL0337
DB00439,SAL0338
DB00440,SAL0339
DB00440,SAL0340
DB00441,SAL0341
DB00442,SAL0342
DB00442,SAL0343
DB00443,SAL0344
DB00443,SAL0345
DB00443,SAL0346
DB00443,SAL0347
DB00443,SAL0348
DB00445,SAL0349
DB00447,SAL0350
DB00449,SAL0351
DB00451,SAL0352
DB00451,SAL0353
DB00452,SAL0354
DB00454,SAL0355
DB00456,SAL0356
DB00457,SAL0357
DB00458,SAL0358
DB00458,SAL0359
DB00465,SAL0360
DB00468,SAL0361
DB00468,SAL0362
DB00468,SAL0363
DB00468,SAL0364
DB00471,SAL0365
DB00472,SAL0366
DB00473,SAL0367
DB00474,SAL0368
DB00475,SAL0369
DB00476,SAL0370
DB00477,SAL0371
DB00478,SAL0372
DB00479,SAL0373
DB00480,SAL0374
DB00481,SAL0375
DB00484,SAL0376
DB00485,SAL0377
DB00485,SAL0378
DB00487,SAL0379
DB00487,SAL0380
DB00489,SAL0381
DB00490,SAL0382
DB00492,SAL0383
DB00493,SAL0384
DB00496,SAL0385
DB00497,SAL0386
