supplement_id,symptom_id
S01,SYM024
S01,SYM052
S01,SYM250
S01,SYM090
S02,SYM041
S02,SYM007
S02,SYM219
S02,SYM128
S02,SYM196
S02,SYM056
S03,SYM119
S03,SYM074
S03,SYM203
S03,SYM252
S03,SYM174
S03,SYM207
S03,SYM173
S04,SYM259
S04,SYM145
S04,SYM222
S04,SYM050
S04,SYM229
S04,SYM121
S04,SYM247
S05,SYM009
S05,SYM072
S05,SYM199
S05,SYM275
S06,SYM021
S06,SYM039
S06,SYM075
S06,SYM211
S07,SYM120
S07,SYM130
S07,SYM134
S07,SYM227
S08,SYM120
S08,SYM046
S08,SYM074
S08,SYM042
S08,SYM171
S08,SYM056
S09,SYM029
S09,SYM100
S09,SYM118
S09,SYM042
S09,SYM072
S09,SYM070
S09,SYM023
S10,SYM070
S10,SYM048
S11,SYM197
S11,SYM227
S12,SYM045
S12,SYM060
S12,SYM104
S12,SYM189
S12,SYM284
S13,SYM016
S13,SYM131
S13,SYM132
S13,SYM208
S13,SYM091
S13,SYM204
S14,SYM106
S14,SYM187
S14,SYM200
S14,SYM231
S14,SYM251
S14,SYM043
S15,SYM047
S15,SYM069
S15,SYM146
S15,SYM152
S15,SYM237
S15,SYM248
S16,SYM074
S16,SYM144
S16,SYM160
S17,SYM133
S17,SYM190
S18,SYM133
S19,SYM072
S19,SYM160
S19,SYM197
S20,SYM072
S20,SYM172
S20,SYM249
S21,SYM007
S21,SYM064
S21,SYM019
S21,SYM155
S21,SYM184
S21,SYM178
S21,SYM071
S22,SYM007
S22,SYM008
S22,SYM042
S22,SYM120
S22,SYM170
S22,SYM276
S23,SYM118
S23,SYM180
S23,SYM210
S23,SYM240
S24,SYM117
S24,SYM020
S25,SYM042
S25,SYM045
S25,SYM054
S25,SYM093
S26,SYM042
S26,SYM051
S26,SYM037
S26,SYM181
S26,SYM198
S26,SYM199
S26,SYM219
S26,SYM228
S27,SYM013
S27,SYM160
S27,SYM208
S27,SYM218
S28,SYM288
S28,SYM053
S28,SYM285
S28,SYM076
S28,SYM008
