sup_id,symptom_id
SUP02,SMP043
SUP02,SMP008
SUP02,SMP040
SUP02,SMP030
SUP05,SMP004
SUP05,SMP036
SUP05,SMP047
SUP07,SMP032
SUP07,SMP034
SUP08,SMP020
SUP08,SMP024
SUP08,SMP035
SUP08,SMP006
SUP10,SMP022
SUP12,SMP042
SUP12,SMP038
SUP12,SMP005
SUP13,SMP003
SUP14,SMP048
SUP14,SMP014
SUP14,SMP034
SUP14,SMP009
SUP14,SMP021
SUP14,SMP029
SUP14,SMP038
SUP15,SMP002
SUP15,SMP039
SUP15,SMP033
SUP15,SMP013
SUP15,SMP018
SUP15,SMP037
SUP15,SMP010
SUP15,SMP016
SUP15,SMP031
SUP15,SMP027
SUP16,SMP048
SUP16,SMP014
SUP16,SMP034
SUP16,SMP006
SUP16,SMP011
SUP16,SMP001
SUP17,SMP023
SUP17,SMP017
SUP17,SMP007
SUP18,SMP045
SUP18,SMP032
SUP18,SMP025
SUP19,SMP014
SUP19,SMP034
SUP20,SMP046
SUP21,SMP044
SUP23,SMP019
SUP23,SMP015
SUP25,SMP048
SUP25,SMP041
SUP25,SMP028
SUP25,SMP030
SUP25,SMP026
SUP26,SMP048
SUP28,SMP012
