drug_id,category
DB00001,"Amino Acids, Peptides, and Proteins"
DB00001,Anticoagulants
DB00001,Antithrombin Proteins
DB00001,Antithrombins
DB00001,Blood and Blood Forming Organs
DB00001,Cardiovascular Agents
DB00001,Enzyme Inhibitors
DB00001,Fibrin Modulating Agents
DB00001,Hematologic Agents
DB00001,Peptides
DB00001,Protease Inhibitors
DB00001,Proteins
DB00001,Serine Protease Inhibitors
DB00001,Serpins
DB00001,Thrombin Inhibitors
DB00002,"Amino Acids, Peptides, and Proteins"
DB00002,Antibodies
DB00002,"Antibodies, Monoclonal"
DB00002,"Antibodies, Monoclonal, Humanized"
DB00002,Antineoplastic Agents
DB00002,"Antineoplastic Agents, Immunological"
DB00002,Antineoplastic and Immunomodulating Agents
DB00002,Blood Proteins
DB00002,Cancer immunotherapy
DB00002,EGFR (Epidermal Growth Factor Receptor) inhibitors
DB00002,Epidermal Growth Factor Receptor Antagonist
DB00002,Globulins
DB00002,HER1 Antagonists
DB00002,Immunoglobulins
DB00002,Immunoproteins
DB00002,Immunotherapy
DB00002,Monoclonal antibodies and antibody drug conjugates
DB00002,Narrow Therapeutic Index Drugs
DB00002,Proteins
DB00002,Serum Globulins
DB00003,"Amino Acids, Peptides, and Proteins"
DB00003,Cough and Cold Preparations
DB00003,Decreased Respiratory Secretion Viscosity
DB00003,Deoxyribonucleases
DB00003,Endodeoxyribonucleases
DB00003,Endonucleases
DB00003,Enzymes
DB00003,Enzymes and Coenzymes
DB00003,Esterases
DB00003,Expectorants
DB00003,Hydrolases
DB00003,Proteins
DB00003,Recombinant Human Deoxyribonuclease 1
DB00004,ADP Ribose Transferases
DB00004,"Amino Acids, Peptides, and Proteins"
DB00004,Antineoplastic Agents
DB00004,Antineoplastic and Immunomodulating Agents
DB00004,Bacterial Toxins
DB00004,Biological Factors
DB00004,Cancer immunotherapy
DB00004,CD25-directed Cytotoxin
DB00004,Cytotoxins
DB00004,Enzymes and Coenzymes
DB00004,Immunotherapy
DB00004,Intercellular Signaling Peptides and Proteins
DB00004,Interleukins
DB00004,Narrow Therapeutic Index Drugs
DB00004,Peptides
DB00004,Proteins
DB00004,Recombinant Fusion Proteins
DB00004,Recombinant Proteins
DB00004,"Toxins, Biological"
DB00005,Agents reducing cytokine levels
DB00005,"Amino Acids, Peptides, and Proteins"
DB00005,Anti-Inflammatory Agents
DB00005,Antibodies
DB00005,Antirheumatic Agents
DB00005,Biological Products
DB00005,Biologics for Rheumatoid Arthritis Treatment
DB00005,Dermatologicals
DB00005,Disease-modifying Antirheumatic Agents
DB00005,Immunoglobulin Constant Regions
DB00005,Immunoglobulin Fc Fragments
DB00005,Immunoglobulin Fragments
DB00005,Immunoglobulin Isotypes
DB00005,Immunologic Factors
DB00005,Immunoproteins
DB00005,Immunosuppressive Agents
DB00005,Membrane Proteins
DB00005,Peptides
DB00005,Proteins
DB00005,Tumor necrosis factor alpha (TNF-alpha) inhibitors
DB00005,Tumor Necrosis Factor Blockers
DB00006,"Amino Acids, Peptides, and Proteins"
DB00006,Anticoagulants
DB00006,Antithrombins
DB00006,Blood and Blood Forming Organs
DB00006,Enzyme Inhibitors
DB00006,Hematologic Agents
DB00006,Peptides
DB00006,Protease Inhibitors
DB00006,Serine Protease Inhibitors
DB00006,Thrombin Inhibitors
DB00007,Adrenal Cortex Hormones
DB00007,Agents Causing Muscle Toxicity
