drug_id,synonym_id
DB00001,SYN00001
DB00001,SYN00002
DB00001,SYN00003
DB00001,SYN00004
DB00001,SYN00005
DB00001,SYN00006
DB00002,SYN00007
DB00002,SYN00008
DB00002,SYN00009
DB00002,SYN00010
DB00002,SYN00011
DB00003,SYN00012
DB00003,SYN00013
DB00003,SYN00014
DB00003,SYN00015
DB00003,SYN00016
DB00003,SYN00017
DB00004,SYN00018
DB00004,SYN00019
DB00004,SYN00020
DB00004,SYN00021
DB00004,SYN00022
DB00004,SYN00023
DB00005,SYN00024
DB00005,SYN00025
DB00005,SYN00026
DB00005,SYN00027
DB00005,SYN00028
DB00005,SYN00029
DB00005,SYN00030
DB00006,SYN00031
DB00006,SYN00032
DB00006,SYN00033
DB00007,SYN00034
DB00007,SYN00035
DB00007,SYN00036
DB00007,SYN00037
DB00007,SYN00038
DB00008,SYN00039
DB00008,SYN00040
DB00008,SYN00041
DB00008,SYN00042
DB00008,SYN00043
DB00008,SYN00044
DB00008,SYN00045
DB00008,SYN00046
DB00008,SYN00047
DB00009,SYN00048
DB00009,SYN00049
DB00009,SYN00050
DB00009,SYN00051
DB00009,SYN00052
DB00009,SYN00053
DB00009,SYN00054
DB00009,SYN00055
DB00009,SYN00056
DB00009,SYN00057
DB00009,SYN00058
DB00009,SYN00059
DB00009,SYN00060
DB00009,SYN00061
DB00009,SYN00062
DB00010,SYN00063
DB00011,SYN00064
DB00011,SYN00065
DB00011,SYN00066
DB00011,SYN00067
DB00012,SYN00068
DB00012,SYN00069
DB00012,SYN00070
DB00012,SYN00071
DB00013,SYN00072
DB00013,SYN00073
DB00013,SYN00074
DB00013,SYN00075
DB00013,SYN00076
DB00013,SYN00077
DB00013,SYN00078
DB00013,SYN00079
DB00014,SYN00080
DB00014,SYN00081
DB00015,SYN00082
DB00015,SYN00083
DB00015,SYN00084
DB00015,SYN00085
DB00015,SYN00086
DB00016,SYN00087
DB00016,SYN00088
DB00016,SYN00089
DB00016,SYN00090
DB00016,SYN00091
DB00016,SYN00092
DB00016,SYN00093
DB00016,SYN00094
DB00016,SYN00095
DB00016,SYN00096
DB00016,SYN00097
DB00016,SYN00098
DB00016,SYN00099
DB00016,SYN00100
DB00016,SYN00101
DB00016,SYN00102
DB00016,SYN00103
DB00016,SYN00104
DB00016,SYN00105
DB00016,SYN00106
DB00016,SYN00107
DB00016,SYN00108
DB00016,SYN00109
DB00016,SYN00110
DB00016,SYN00111
DB00016,SYN00112
DB00016,SYN00113
DB00016,SYN00114
DB00016,SYN00115
DB00017,SYN00116
DB00017,SYN00117
DB00017,SYN00118
DB00017,SYN00119
DB00017,SYN00120
DB00017,SYN00121
DB00017,SYN00122
DB00017,SYN00123
DB00018,SYN00124
DB00019,SYN00125
DB00019,SYN00126
DB00019,SYN00127
DB00019,SYN00128
DB00019,SYN00129
DB00019,SYN00130
DB00019,SYN00131
DB00019,SYN00132
DB00019,SYN00133
DB00019,SYN00134
DB00019,SYN00135
DB00019,SYN00136
DB00019,SYN00137
