drugbank_id,synonym
DB00001,"[Leu1, Thr2]-63-desulfohirudin"
DB00001,Desulfatohirudin
DB00001,Hirudin variant-1
DB00001,Lepirudin
DB00001,Lepirudin recombinant
DB00001,R-hirudin
DB00002,Cetuximab
DB00002,Cétuximab
DB00002,Cetuximabum
DB00002,Chimeric MoAb C225
DB00002,Chimeric Monoclonal Antibody C225
DB00003,Deoxyribonuclease (human clone 18-1 protein moiety)
DB00003,Dornasa alfa
DB00003,Dornase alfa
DB00003,"Dornase alfa, recombinant"
DB00003,Dornase alpha
DB00003,Recombinant deoxyribonuclease (DNAse)
DB00004,DAB(SUB 389)IL2
DB00004,Denileukin
DB00004,Denileukin diftitox
DB00004,Interleukin-2/diptheria toxin fusion protein
DB00004,N-L-METHIONYL-387-L-HISTIDINE-388-L-ALANINE-1-388-TOXIN (CORYNEBACTERIUM DIPHTHERIAE STRAIN C7) (388->2') PROTEIN WITH 2-133-INTERLEUKIN 2 (HUMAN CLONE PTIL2-21A)
DB00004,N-MET-187-HIS-388-ALA-1-388-TOXIN (CORYNEBACTERIUM DIPHTHERIAE C7) WITH 1-133-INTERLEUKIN 2
DB00005,Etanercept
DB00005,etanercept-szzs
DB00005,etanercept-ykro
DB00005,Recombinant human TNF
DB00005,rhu TNFR:Fc
DB00005,rhu-TNFR:Fc
DB00005,TNFR-Immunoadhesin
DB00006,Bivalirudin
DB00006,Bivalirudina
DB00006,Bivalirudinum
DB00007,Leuporelin
DB00007,Leuprorelin
DB00007,Leuprorelina
DB00007,Leuproreline
DB00007,Leuprorelinum
DB00008,PEG-IFN alfa-2A
DB00008,PEG-Interferon alfa-2A
DB00008,Peginterferon alfa-2a
DB00008,Pegylated Interfeaon alfa-2A
DB00008,Pegylated interferon alfa-2a
DB00008,Pegylated Interferon alpha 2a
DB00008,Pegylated interferon alpha-2a
DB00008,Pegylated-interferon alfa 2a
DB00008,Pegylated-interferon-alfa-2a
DB00009,Alteplasa
DB00009,Alteplase
DB00009,Alteplase (genetical recombination)
DB00009,"Alteplase, recombinant"
DB00009,"Alteplase,recombinant"
DB00009,Plasminogen activator (human tissue-type protein moiety)
DB00009,r-tPA
DB00009,rt-PA
DB00009,rtPA
DB00009,t-PA
DB00009,t-plasminogen activator
DB00009,Tissue plasminogen activator
DB00009,Tissue plasminogen activator alteplase
DB00009,"Tissue plasminogen activator, recombinant"
DB00009,tPA
DB00010,Sermorelin
DB00011,Interferon alfa-n1
DB00011,Interferon alpha-n1 (INS)
DB00011,WELL-FERON
DB00011,WELLFERON
DB00012,Darbepoetin
DB00012,Darbepoetin alfa
DB00012,"Darbepoetin alfa,recombinant"
DB00012,Darbepoetina alfa
DB00013,"Kinase (enzyme-activating), uro-urokinase"
DB00013,TCUK
DB00013,Tissue culture urokinase
DB00013,Two-chain urokinase
DB00013,Urochinasi
DB00013,Urokinase
DB00013,Urokinasum
DB00013,Uroquinasa
DB00014,Goserelin
DB00014,Goserelina
DB00015,Human t-PA (residues 1-3 and 176-527)
DB00015,Reteplasa
DB00015,Reteplase
DB00015,"Reteplase, recombinant"
DB00015,"Reteplase,recombinant"
DB00016,"1-165-Erythropoietin (human clone λHEPOFL13 protein moiety), glycoform α"
DB00016,E.P.O.
DB00016,epo
DB00016,EPOETIN
DB00016,Epoetin alfa
DB00016,Epoetin alfa rDNA
DB00016,Epoetin alfa-epbx
DB00016,"Epoetin alfa, recombinant"
DB00016,Epoetin epsilon
DB00016,Epoetin gamma
DB00016,Epoetin gamma rDNA
DB00016,Epoetin kappa
DB00016,Epoetin omega
DB00016,Epoetin theta
DB00016,Epoetin zeta
DB00016,Epoetina alfa
DB00016,Epoetina dseta
DB00016,Epoetina zeta
DB00016,Epoétine zêta
DB00016,Epoetinum zeta
DB00016,Erythropoetin
DB00016,Erythropoiesis stimulating factor
DB00016,Erythropoietin
DB00016,"Erythropoietin (human, recombinant)"
DB00016,Erythropoietin (recombinant human)
DB00016,ESF
DB00016,RECOMBINANT HUMAN ERYTHROPOIETIN ALFA
DB00016,rhEPO
DB00016,SH-polypeptide-72
DB00017,Calcitonin (Salmon Synthetic)
DB00017,Calcitonin salmon
DB00017,Calcitonin salmon recombinant
DB00017,Calcitonin-salmon
DB00017,"Calcitonin, salmon"
DB00017,Calcitonina salmón sintética
DB00017,Recombinant salmon calcitonin
DB00017,Salmon calcitonin
DB00018,Interferon alfa-n3
DB00019,Granulocyte colony-stimulating factor pegfilgrastim
DB00019,Jixinfe
DB00019,peg-filgrastim
DB00019,PEG-G-CSF
DB00019,PEG-GCSF
DB00019,Pegfilgrastim
DB00019,pegfilgrastim-apgf
DB00019,pegfilgrastim-bmez
DB00019,pegfilgrastim-cbqv
DB00019,Pegfilgrastim-fpgk
DB00019,pegfilgrastim-jmdb
DB00019,Pegfilgrastim-pbbk
DB00019,Pegylated G-CSF
DB00019,Pegylated GCSF
DB00019,Pegylated Granulocyte Colony Stimulating Factor
DB00019,Tripegfilgrastim
DB00019,吉新芬
DB00020,Recombinant human granulocyte-macrophage colony stimulating factor
DB00020,rGM-CSF
