parent_drugbank_id,salt_drugbank_id,salt_name
DB00007,DBSALT000105,Leuprolide acetate
DB00007,DBSALT003182,Leuprolide mesylate
DB00010,DBSALT001439,Sermorelin acetate
DB00014,DBSALT000093,Goserelin acetate
DB00030,DBSALT001733,Insulin human zinc suspension
DB00030,DBSALT001734,NPH insulin
DB00035,DBSALT001154,Desmopressin acetate
DB00035,DBSALT000044,Desmopressin acetate anhydrous
DB00040,DBSALT001413,Glucagon hydrochloride
DB00050,DBSALT000021,Cetrorelix acetate
DB00067,DBSALT002464,Argipressin
DB00071,DBSALT001735,Insulin suspension isophane purified pork
DB00071,DBSALT001736,Insulin suspension protamine zinc purified pork
DB00071,DBSALT001737,Insulin zinc suspension prompt purified pork
DB00071,DBSALT001738,Insulin zinc suspension purified pork
DB00078,DBSALT001767,Indium In-111 ibritumomab tiuxetan
DB00078,DBSALT001768,Yttrium y-90 ibritumomab tiuxetan
DB00104,DBSALT000130,Octreotide acetate
DB00104,DBSALT003592,Octreotide hydrochloride
DB00104,DBSALT002951,Octreotide pamoate
DB00114,DBSALT001801,Pyridoxal phosphate hydrate
DB00117,DBSALT003344,Copper histidine
DB00117,DBSALT002949,Histidine monohydrochloride monohydrate
DB00118,DBSALT000873,Ademetionine butanedisulfonate
DB00118,DBSALT000875,Ademetionine disulfate ditosylate
DB00118,DBSALT000876,Ademetionine disulfate monotosylate
DB00118,DBSALT000874,Ademetionine disulfate tosylate
DB00118,DBSALT000872,Ademetionine tosylate
DB00119,DBSALT002377,Calcium pyruvate
DB00119,DBSALT003201,Methylselenopyruvate
DB00119,DBSALT001546,Sodium pyruvate
DB00120,DBSALT001774,Phenylalanine hydrochloride
DB00120,DBSALT002207,Phenylalanine sodium
DB00122,DBSALT001542,Choline bitartrate
DB00122,DBSALT003461,Choline chloride
DB00123,DBSALT001763,Lysine acetate
DB00123,DBSALT003341,Lysine dihydrate
DB00123,DBSALT001756,Lysine hydrochloride
DB00123,DBSALT003003,Lysine monohydrate
DB00125,DBSALT003350,Arginine butyrate
DB00125,DBSALT000869,Arginine hydrochloride
DB00127,DBSALT000870,Spermine dihydrate
DB00129,DBSALT002898,Ornithine aspartate
DB00129,DBSALT001925,Ornithine dihydrochloride
DB00129,DBSALT002530,Ornithine hydrochloride
DB00129,DBSALT002529,Ornithine oxoglurate
DB00130,DBSALT002231,Glutamine sodium
DB00134,DBSALT002219,Methionine hydrochloride
DB00139,DBSALT003566,Sodium succinate
DB00140,DBSALT002842,Riboflavin sodium
DB00142,DBSALT002484,Glutamic acid hydrochloride
DB00146,DBSALT002443,Calcifediol hydrate
DB00147,DBSALT001795,Pyridoxal hydrochloride
DB00148,DBSALT003560,Creatine monohydrate
DB00149,DBSALT001773,L-Leucine hydrochloride
DB00151,DBSALT001754,Cysteine hydrochloride
DB00152,DBSALT002650,Thiamine chloride
DB00152,DBSALT000205,Thiamine hydrochloride
DB00152,DBSALT001495,Thiamine mononitrate
DB00154,DBSALT002649,Sodium dihomo-gamma-linolenate
DB00155,DBSALT003047,Citrulline malate
DB00158,DBSALT001918,Folate sodium
DB00159,DBSALT002305,Icosapent sodium
DB00162,DBSALT001720,Vitamin A acetate
DB00162,DBSALT000855,Vitamin A palmitate
DB00165,DBSALT000151,Pyridoxine hydrochloride
DB00171,DBSALT002406,Adenosine triphosphate disodium
DB00171,DBSALT002407,Adenosine triphosphate disodium trihydrate
DB00173,DBSALT002225,Adenine hydrochloride
DB00173,DBSALT002226,Adenine sulfate
DB00175,DBSALT000146,Pravastatin sodium
DB00176,DBSALT000879,Fluvoxamine maleate
DB00180,DBSALT001845,Flunisolide hemihydrate
DB00181,DBSALT002256,Baclofen hydrochloride
DB00182,DBSALT001323,Amphetamine adipate
DB00182,DBSALT001345,Amphetamine aspartate
DB00182,DBSALT001501,Amphetamine aspartate monohydrate
DB00182,DBSALT001205,Amphetamine sulfate
DB00184,DBSALT002418,Nicotine bitartrate
DB00184,DBSALT002417,Nicotine bitartrate dihydrate
DB00185,DBSALT000805,Cevimeline hydrochloride
DB00185,DBSALT003577,Cevimeline hydrochloride anhydrous
DB00187,DBSALT000586,Esmolol hydrochloride
DB00190,DBSALT001834,Carbidopa hydrate
DB00191,DBSALT000138,Phentermine hydrochloride
DB00192,DBSALT000880,Indecainide hydrochloride
DB00193,DBSALT000181,Tramadol hydrochloride
DB00195,DBSALT000328,Betaxolol hydrochloride
DB00198,DBSALT000881,Oseltamivir phosphate
DB00199,DBSALT001358,Erythromycin estolate
DB00199,DBSALT001220,Erythromycin ethylsuccinate
DB00199,DBSALT001340,Erythromycin gluceptate
DB00199,DBSALT001219,Erythromycin lactobionate
DB00199,DBSALT001624,Erythromycin phosphate
DB00199,DBSALT001221,Erythromycin stearate
DB00199,DBSALT002260,Erythromycin sulfate
DB00199,DBSALT001625,Erythromycin thiocyanate
DB00200,DBSALT001895,Hydroxocobalamin acetate
DB00201,DBSALT000866,Caffeine citrate
DB00202,DBSALT000206,Succinylcholine chloride
DB00202,DBSALT003046,Succinylcholine chloride dihydrate
DB00203,DBSALT000347,Sildenafil citrate
DB00205,DBSALT000385,Pyrimethamine hydrochloride
DB00207,DBSALT000882,Azithromycin dihydrate
DB00207,DBSALT003207,Azithromycin hemiethanolate monohydrate
DB00207,DBSALT001208,Azithromycin monohydrate
DB00208,DBSALT000179,Ticlopidine hydrochloride
DB00209,DBSALT000883,Trospium chloride
DB00211,DBSALT000250,Midodrine hydrochloride
DB00213,DBSALT000853,Pantoprazole magnesium
DB00213,DBSALT002977,Pantoprazole magnesium dihydrate
DB00213,DBSALT001960,Pantoprazole magnesium hemipentahydrate
DB00213,DBSALT000386,Pantoprazole sodium
DB00215,DBSALT000027,Citalopram hydrobromide
DB00216,DBSALT000884,Eletriptan hydrobromide
DB00216,DBSALT002562,Eletriptan hydrobromide monohydrate
DB00217,DBSALT000194,Bethanidine sulfate
DB00218,DBSALT000387,Moxifloxacin hydrochloride
DB00218,DBSALT002560,Moxifloxacin hydrochloride monohydrate
DB00219,DBSALT000207,Oxyphenonium bromide
DB00220,DBSALT000885,Nelfinavir mesylate
DB00221,DBSALT000349,Isoetharine hydrochloride
DB00221,DBSALT000886,Isoetharine mesylate
DB00223,DBSALT000887,Diflorasone diacetate
DB00224,DBSALT001802,Indinavir monohydrate
DB00224,DBSALT000338,Indinavir sulfate
DB00224,DBSALT002995,Indinavir sulfate ethanolate
DB00225,DBSALT000888,Gadodiamide hydrate
DB00226,DBSALT000889,Guanadrel sulfate
DB00229,DBSALT000796,Cefotiam hydrochloride
DB00231,DBSALT002272,Temazepam hydrochloride
DB00231,DBSALT002271,Temazepam sulfate
DB00233,DBSALT001939,Aminosalicylate calcium
DB00233,DBSALT000354,Aminosalicylate sodium anhydrous
DB00233,DBSALT001940,Calcium aminosalicylate trihydrate
DB00233,DBSALT002415,Potassium aminosalicylate
DB00233,DBSALT001938,Sodium aminosalicylate dihydrate
DB00234,DBSALT000890,Reboxetine mesilate
DB00235,DBSALT000891,Milrinone lactate
DB00237,DBSALT000312,Butabarbital sodium
DB00238,DBSALT002723,Nevirapine hemihydrate
DB00239,DBSALT000892,Oxiconazole nitrate
DB00240,DBSALT000893,Alclometasone dipropionate
DB00241,DBSALT002235,Butalbital sodium
DB00243,DBSALT000388,Ranolazine hydrochloride
DB00245,DBSALT000894,Benzatropine mesylate
DB00246,DBSALT000810,Ziprasidone hydrochloride
DB00246,DBSALT000811,Ziprasidone mesylate trihydrate
DB00247,DBSALT000895,Methysergide maleate
DB00252,DBSALT000139,Phenytoin sodium
DB00254,DBSALT001217,Doxycycline calcium
DB00254,DBSALT000896,Doxycycline hyclate
DB00254,DBSALT000897,Doxycycline hydrochloride
DB00254,DBSALT001956,Doxycycline monohydrate
DB00255,DBSALT001389,Diethylstilbestrol diphosphate
DB00255,DBSALT001169,Diethylstilbestrol diphosphate sodium
DB00258,DBSALT001536,Calcium acetate monohydrate
DB00261,DBSALT000379,Anagrelide hydrochloride
DB00261,DBSALT003200,Anagrelide hydrochloride monohydrate
DB00263,DBSALT001376,Sulfisoxazole diolamine
DB00264,DBSALT001329,Metoprolol fumarate
DB00264,DBSALT000863,Metoprolol succinate
DB00264,DBSALT000862,Metoprolol tartrate
DB00267,DBSALT000801,Cefmenoxime hydrochloride
DB00268,DBSALT000390,Ropinirole Hydrochloride
DB00271,DBSALT000844,Diatrizoate meglumine
DB00271,DBSALT000267,Diatrizoate sodium
DB00271,DBSALT003160,Diatrizoic acid dihydrate
DB00272,DBSALT000898,Betazole hydrochloride
DB00273,DBSALT002319,Topiramate calcium
DB00273,DBSALT002320,Topiramate potassium
DB00273,DBSALT002318,Topiramate sodium
DB00274,DBSALT000391,Cefmetazole sodium
DB00275,DBSALT001815,Olmesartan medoxomil
DB00276,DBSALT002301,Amsacrine gluconate
DB00276,DBSALT002302,Amsacrine hydrochloride
DB00276,DBSALT002300,Amsacrine mesylate
DB00277,DBSALT001603,Theophylline sodium glycinate
DB00278,DBSALT001826,Argatroban monohydrate
DB00279,DBSALT000321,Liothyronine sodium
DB00280,DBSALT000899,Disopyramide phosphate
DB00281,DBSALT000900,Lidocaine hydrochloride
DB00281,DBSALT001508,Lidocaine hydrochloride anhydrous
DB00282,DBSALT000836,Pamidronate Disodium
DB00283,DBSALT000901,Clemastine fumarate
DB00285,DBSALT003481,Venlafaxine besylate monohydrate
DB00285,DBSALT000186,Venlafaxine hydrochloride
DB00289,DBSALT001207,Atomoxetine hydrochloride
DB00290,DBSALT003075,Bleomycin hydrochloride
DB00290,DBSALT000196,Bleomycin sulfate
DB00293,DBSALT003210,Raltitrexed disodium
DB00295,DBSALT002224,Morphine acetate
DB00295,DBSALT001753,Morphine hydrochloride
DB00295,DBSALT003118,Morphine hydrochloride trihydrate
DB00295,DBSALT002222,Morphine mesylate
DB00295,DBSALT002221,Morphine nitrate
DB00295,DBSALT002220,Morphine phosphate
DB00295,DBSALT000122,Morphine sulfate
DB00295,DBSALT001986,Morphine sulfate pentahydrate
DB00295,DBSALT002223,Morphine tartrate
DB00296,DBSALT000902,Ropivacaine hydrochloride
DB00296,DBSALT002892,Ropivacaine hydrochloride anhydrous
DB00297,DBSALT001512,Bupivacaine hydrochloride
DB00297,DBSALT000202,Bupivacaine hydrochloride anhydrous
DB00298,DBSALT001438,Dapiprazole hydrochloride
DB00299,DBSALT001449,Penciclovir sodium
DB00300,DBSALT000172,Tenofovir disoproxil fumarate
DB00300,DBSALT002960,Tenofovir disoproxil maleate
DB00300,DBSALT002961,Tenofovir disoproxil phosphate
DB00300,DBSALT002962,Tenofovir disoproxil succinate
DB00301,DBSALT000345,Flucloxacillin sodium
DB00303,DBSALT001460,Ertapenem sodium
DB00308,DBSALT001069,Ibutilide fumarate
DB00309,DBSALT000440,Vindesine sulfate
DB00312,DBSALT000442,Pentobarbital Sodium
DB00313,DBSALT000185,Divalproex sodium
DB00313,DBSALT003326,Magnesium Valproate
DB00313,DBSALT001257,Valproate sodium
DB00314,DBSALT000443,Capreomycin sulfate
DB00318,DBSALT003186,Codeine hydrobromide dihydrate
