synonym_id,synonym
SYN00001,"[Leu1, Thr2]-63-desulfohirudin"
SYN00002,Desulfatohirudin
SYN00003,Hirudin variant-1
SYN00004,Lepirudin
SYN00005,Lepirudin recombinant
SYN00006,R-hirudin
SYN00007,Cetuximab
SYN00008,Cétuximab
SYN00009,Cetuximabum
SYN00010,Chimeric MoAb C225
SYN00011,Chimeric Monoclonal Antibody C225
SYN00012,Deoxyribonuclease (human clone 18-1 protein moiety)
SYN00013,Dornasa alfa
SYN00014,Dornase alfa
SYN00015,"Dornase alfa, recombinant"
SYN00016,Dornase alpha
SYN00017,Recombinant deoxyribonuclease (DNAse)
SYN00018,DAB(SUB 389)IL2
SYN00019,Denileukin
SYN00020,Denileukin diftitox
SYN00021,Interleukin-2/diptheria toxin fusion protein
SYN00022,N-L-METHIONYL-387-L-HISTIDINE-388-L-ALANINE-1-388-TOXIN (CORYNEBACTERIUM DIPHTHERIAE STRAIN C7) (388->2') PROTEIN WITH 2-133-INTERLEUKIN 2 (HUMAN CLONE PTIL2-21A)
SYN00023,N-MET-187-HIS-388-ALA-1-388-TOXIN (CORYNEBACTERIUM DIPHTHERIAE C7) WITH 1-133-INTERLEUKIN 2
SYN00024,Etanercept
SYN00025,etanercept-szzs
SYN00026,etanercept-ykro
SYN00027,Recombinant human TNF
SYN00028,rhu TNFR:Fc
SYN00029,rhu-TNFR:Fc
SYN00030,TNFR-Immunoadhesin
SYN00031,Bivalirudin
SYN00032,Bivalirudina
SYN00033,Bivalirudinum
SYN00034,Leuporelin
SYN00035,Leuprorelin
SYN00036,Leuprorelina
SYN00037,Leuproreline
SYN00038,Leuprorelinum
SYN00039,PEG-IFN alfa-2A
SYN00040,PEG-Interferon alfa-2A
SYN00041,Peginterferon alfa-2a
SYN00042,Pegylated Interfeaon alfa-2A
SYN00043,Pegylated interferon alfa-2a
SYN00044,Pegylated Interferon alpha 2a
SYN00045,Pegylated interferon alpha-2a
SYN00046,Pegylated-interferon alfa 2a
SYN00047,Pegylated-interferon-alfa-2a
SYN00048,Alteplasa
SYN00049,Alteplase
SYN00050,Alteplase (genetical recombination)
SYN00051,"Alteplase, recombinant"
SYN00052,"Alteplase,recombinant"
SYN00053,Plasminogen activator (human tissue-type protein moiety)
SYN00054,r-tPA
