drug_id,toxicity,indication_text
DB01373,,
DB00001,,
DB01022,,
DB00001,"The acute toxicity of intravenous lepirudin was evaluated in mice (0.1-1000 mg/kg), rats (1-1000 mg/kg), and monkeys (1-100 mg/kg), and toxicity was not detected at the doses investigated.[L41539] The acute toxicity of lepirudin administered subcutaneously was also evaluated in mice (1-1250 mg/kg) and rats (1-500 mg/kg), and no toxicity was detected.[L41539] One rat (100 mg/kg) died of rapid blood loss after the subcutaneous administration of lepirudin. Reactions to local injections such as hemorrhages, hematomas and/or nodules were detected in mice and rats given subcutaneous doses of lepirudin equal or higher than 500 mg/kg and 10 mg/kg, respectively.[L41539] 

Chronic toxicity was evaluated in rats and monkeys given lepirudin for up to 3 months. Most of the effects observed were due to the antithrombotic action of lepirudin. After 3 months, hemosiderin deposits in the spleen and moderate sinus histiocytosis in the lymph node were observed in rats. In monkeys, external and internal hemorrhages and hematomas were detected.[L41539] Lepidurin was reported as not mutagenic.[L41539]

Relative overdose may occur in patients with renal impairment, therefore, bolus dose and rate of infusion must be reduced in case of known or suspected renal insufficiency.[L41539] Excessively high activated partial thromboplastin time (aPTT) values suggest an overdose and a risk of bleeding. Lepirudin has no known antidote. In case of life-threatening bleeding and if excessive plasma levels of lepirudin are suspected: 1)stop the administration of lepirudin immediately, 2) determine aPTT and coagulation parameters, 3) determine hemoglobin, and prepare for a transfusion, 4) follow the treatment guidelines for patients with shock.[L41539] Hemofiltration or hemodialysis may be useful in case of overdose, based in single case reports and animal data.[L41539]","Lepirudin is indicated for anticoagulation in adult patients with acute coronary syndromes (ACS) such as unstable angina and acute myocardial infarction without ST elevation. In patients with ACS, lepirudin is intended for use with [aspirin].[L41539] Lepirudin is also indicated for anticoagulation in patients with heparin-induced thrombocytopenia (HIT) and associated thromboembolic disease in order to prevent further thromboembolic complications.[L41539]"
DB00002,,
DB00002,"The intravenous LD<sub>50</sub> is > 300 mg/kg in mice and > 200 mg/kg in rats.[L31408] There is limited information on the overdose from cetuximab.

In clinical trials, cetuximab was associated with serious and fatal infusion reactions, cardiopulmonary arrest or sudden death, and serious dermatologic toxicities. Pulmonary toxicities, such as interstitial lung disease, interstitial pneumonitis with non-cardiogenic pulmonary edema, and exacerbation of pre-existing fibrotic lung disease have been reported.[L30448]","Cetuximab is indicated for: 

- The treatment of locally or regionally advanced squamous cell carcinoma of the head and neck in combination with radiation therapy. 
- The treatment of recurrent locoregional disease or metastatic squamous cell carcinoma of the head and neck in combination with platinum-based therapy with [fluorouracil].  
- The treatment of recurrent or metastatic squamous cell carcinoma of the head and neck progressing after platinum-based therapy.[L30448]
- K-Ras wild-type, EGFR-expressing, metastatic colorectal cancer as determined by an FDA-approved test in combination with FOLFIRI, a chemotherapy combination that includes [leucovorin], [fluorouracil], and [irinotecan]
- In combination with [irinotecan] in patients who are refractory to irinotecan-based chemotherapy; or as monotherapy in patients who have failed [oxaliplatin]- and irinotecan-based chemotherapy or who are intolerant to irinotecan.[L30448]
- Metastatic colorectal cancer that is BRAF V600E mutation-positive (as determined by an FDA-approved test) in combination with [encorafenib] but only after prior therapy.[L39045]

Cetuximab is not indicated for the treatment of Ras-mutant colorectal cancer or when the results of the Ras mutation tests are unknown.[L30448]"
DB00003,"Adverse reactions occur at a frequency of < 1/1000 and are usually mild and transient in nature. Reported adverse effects include chest pain (pleuritic/non-cardiac), fever, dyspepsia, voice alteration (hoarseness), pharyngitis, dyspnea, laryngitis, rhinitis, decreased lung function, rash, urticaria, and conjunctivitis. There is no evidence of carcinogenic or mutagenic properties. The safety of dornase alfa has not been studied in pregnant women, nursing women and children under the age of 5 years old. ",Used as adjunct therapy in the treatment of cystic fibrosis. 
DB00004,There is limited information regarding the acute toxicity (LD<sub>50</sub>) and overdose of denileukin diftitox.,Denileukin diftitox was previously indicated for the treatment of adult patients with persistent or recurrent cutaneous T-cell lymphoma (CTCL) whose malignant cells express the CD25 component of the IL-2 receptor.[L26381] It is also indicated for the treatment of adult patients with relapsed or refractory Stage I-III CTCL after at least one prior systemic therapy.[L51254]
DB00005,,"Etanercept is indicated for the treatment of moderately to severely active rheumatoid arthritis in adults and in chronic moderate to severe plaque psoriasis in patients 4 years of age and older.[L14862,L45523] It is also used to manage signs and symptoms of polyarticular idiopathic arthritis and Juvenile Psoriatic Arthritis in those aged 2 years and older. Etanercept is also used to manage the symptoms of psoriatic arthritis and ankylosing spondylitis.[L48526] "
DB00006,,
