supplement_id,symptom_id
S01,SYM056
S01,SYM102
S01,SYM032
S01,SYM143
S01,SYM006
S02,SYM238
S02,SYM042
S03,SYM271
S03,SYM162
S03,SYM185
S03,SYM076
S03,SYM083
S03,SYM213
S03,SYM264
S03,SYM113
S03,SYM224
S03,SYM149
S04,SYM280
S05,SYM137
S05,SYM042
S05,SYM216
S05,SYM194
S06,SYM272
S06,SYM161
S06,SYM112
S06,SYM231
S06,SYM209
S07,SYM176
S07,SYM003
S07,SYM025
S07,SYM124
S07,SYM224
S08,SYM032
S08,SYM102
S08,SYM076
S09,SYM001
S09,SYM185
S09,SYM161
S09,SYM055
S09,SYM149
S09,SYM270
S09,SYM256
S09,SYM245
S09,SYM151
S09,SYM242
S09,SYM080
S10,SYM112
S10,SYM166
S10,SYM030
S10,SYM083
S10,SYM262
S10,SYM272
S10,SYM269
S10,SYM241
S10,SYM231
S10,SYM030
S10,SYM105
S11,SYM185
S11,SYM122
S11,SYM076
S11,SYM056
S11,SYM085
S11,SYM246
S11,SYM112
S12,SYM234
S12,SYM283
S12,SYM083
S12,SYM185
S12,SYM277
S12,SYM278
S12,SYM092
S12,SYM094
S12,SYM148
S12,SYM255
S13,SYM188
S13,SYM032
S13,SYM107
S13,SYM112
S13,SYM011
S13,SYM010
S13,SYM066
S14,SYM279
S14,SYM113
S14,SYM087
S14,SYM225
S14,SYM084
S14,SYM086
S14,SYM095
S14,SYM061
S14,SYM282
S14,SYM186
S14,SYM096
S14,SYM230
S14,SYM214
S14,SYM116
S14,SYM115
S14,SYM185
S14,SYM073
S14,SYM168
S14,SYM220
S14,SYM234
S14,SYM129
S14,SYM044
S14,SYM286
S15,SYM112
S15,SYM083
S15,SYM185
S15,SYM085
S15,SYM065
S16,SYM103
S16,SYM150
S16,SYM112
S16,SYM221
S17,SYM243
S17,SYM151
S17,SYM273
S17,SYM028
S17,SYM161
S17,SYM107
S17,SYM157
S17,SYM074
S17,SYM142
S17,SYM107
S17,SYM139
S17,SYM067
S18,SYM176
S18,SYM258
S18,SYM122
S18,SYM102
S18,SYM112
S18,SYM097
S18,SYM272
S19,SYM081
S19,SYM175
S19,SYM083
S19,SYM149
S19,SYM018
S19,SYM260
S20,SYM018
S20,SYM083
S20,SYM077
S20,SYM087
S20,SYM266
S20,SYM112
S20,SYM135
S21,SYM244
S21,SYM012
S21,SYM151
S21,SYM254
S21,SYM040
S21,SYM089
S21,SYM055
S21,SYM215
S21,SYM212
S21,SYM136
S21,SYM002
S22,SYM185
S22,SYM277
S22,SYM095
S22,SYM083
S22,SYM036
S22,SYM026
S22,SYM157
S22,SYM112
S22,SYM185
S22,SYM108
S22,SYM088
S22,SYM201
S23,SYM005
S23,SYM202
S23,SYM123
S23,SYM233
S23,SYM192
S23,SYM226
S24,SYM112
S24,SYM185
S24,SYM076
S24,SYM278
S24,SYM263
S25,SYM239
S25,SYM274
S25,SYM122
S25,SYM257
S25,SYM265
S25,SYM112
S25,SYM153
S25,SYM235
S25,SYM101
S25,SYM034
S25,SYM193
S26,SYM273
S26,SYM281
S26,SYM183
S26,SYM191
S26,SYM114
S26,SYM154
S27,SYM272
S27,SYM161
S27,SYM027
S27,SYM264
S27,SYM278
S27,SYM112
S27,SYM035
S27,SYM224
S27,SYM239
S27,SYM066
S27,SYM217
S27,SYM267
S27,SYM014
S27,SYM031
S27,SYM074
S27,SYM004
S27,SYM111
S27,SYM159
S27,SYM030
S27,SYM017
S28,SYM076
S28,SYM083
S28,SYM112
S28,SYM185
S28,SYM272
S28,SYM277
S28,SYM058
S28,SYM147
