supplement_name,interacts_with
Aloe,"Anticoagulants and antiplatelet medicines, herbs and supplements"
Aloe,Digoxin (Lanoxin)
Aloe,Diabetes medicines
Aloe,Other medicines taken by mouth
Aloe,"Sevoflurane (Sojourn, Ultane)"
Aloe,Stimulant laxatives
Aloe,Warfarin (Jantoven)
Aloe,"Water pills, also called diuretics"
Coenzyme Q10,Anticoagulants
Creatine,Caffeine
DHEA,Antipsychotics
DHEA,"Carbamazepine (Tegretol, Carbatrol, others)"
DHEA,Estrogen
DHEA,Lithium
DHEA,Selective serotonin reuptake inhibitors
DHEA,Testosterone
DHEA,Triazolam (Halcion)
DHEA,Valproic acid
Evening primrose,"Anticoagulants and anti-platelet medicines, herbs and supplements"
Evening primrose,"Cytochrome P450 3A4 substrates,"
Evening primrose,Lopinavir-ritonavir (Kaletra)
Evening primrose,Phenothiazines
Fish oil,"Anticoagulant and antiplatelet drugs, herbs and supplements"
Fish oil,"Blood pressure drugs, herbs and supplements"
Fish oil,Contraceptive drugs
Fish oil,"Orlistat (Xenical, Alli)"
Fish oil,Vitamin E
Flaxseed and flaxseed oil,Anticoagulant and antiplatelet medicines
Flaxseed and flaxseed oil,Blood pressure medicines
Flaxseed and flaxseed oil,Diabetes medicines
Flaxseed and flaxseed oil,Estrogens
Folate (folic acid),Anticonvulsants
Folate (folic acid),Barbiturates
Folate (folic acid),Methotrexate (Trexall)
Folate (folic acid),Pyrimethamine (Daraprim)
Ginkgo,Alprazolam (Xanax)
Ginkgo,"Anticoagulants and antiplatelet drugs, herbs and supplements"
Ginkgo,"Anticonvulsants and seizure threshold-lowering medicines, herbs and supplements"
Ginkgo,Antidepressants
Ginkgo,Some statins
Ginkgo,Diabetes medicines
Ginkgo,Ibuprofen
Glucosamine,"Acetaminophen (Tylenol, others)"
Glucosamine,Warfarin (Jantoven)
L-arginine,"Anticoagulants and anti-platelet drugs, herbs and supplements"
L-arginine,"Blood pressure drugs, herbs and supplements"
L-arginine,"Diabetes drugs, herbs and supplements"
L-arginine,Isoproterenol (Isuprel)
L-arginine,Nitrates
L-arginine,Water pills (potassium-sparing diuretics)
L-arginine,"Sildenafil (Revatio, Viagra)"
Marijuana,Alcohol
Marijuana,"Anticoagulant or antiplatelet medicines, herbs and supplements"
Marijuana,CNS depressants
Marijuana,Protease inhibitors
Marijuana,Medicines to prevent seizures
Melatonin,"Anticoagulants and anti-platelet drugs, herbs and supplements"
Melatonin,Anticonvulsants
Melatonin,Blood pressure drugs
Melatonin,Central nervous system (CNS) depressants
Melatonin,Diabetes medications
Melatonin,Contraceptive drugs
Melatonin,Cytochrome P450 1A2 (CYP1A2) and cytochrome P450 2C19 (CPY2C19) substrates
Melatonin,Fluvoxamine (Luvox)
Melatonin,Immunosuppressants
Melatonin,Seizure threshold lowering drugs
Milk thistle,Cytochrome P450 2C9 (CYP2C9) substrates
Milk thistle,Diabetes medications
Milk thistle,Raloxifene (Evista)
Milk thistle,Simeprevir
Milk thistle,Sirolimus (Rapamune)
Niacin,Alcohol
Niacin,"Allopurinol (Lopurin, Zyloprim)"
Niacin,"Anticoagulant and antiplatelet medicines, herbs and supplements"
Niacin,"Blood pressure medicines, herbs and supplements"
Niacin,Chromium
Niacin,Diabetes medicines
Niacin,"Medicines, herbs and supplements that cause liver damage, called hepatotoxic"
Niacin,Statins
Niacin,Zinc
Red yeast rice,Alcohol
Red yeast rice,"Cyclosporine (Neoral, Sandimmune)"
Red yeast rice,Cytochrome P450 3A4 inhibitors
Red yeast rice,Grapefruit
Red yeast rice,Gemfibrozil (Lopid)
Red yeast rice,"Hepatotoxic medicines, herbs and supplements"
Red yeast rice,Niacin
Red yeast rice,St. John's wort
Red yeast rice,Statins
SAMe,Antidepressants and other drugs and supplements that increase levels of serotonin
SAMe,Antipsychotics
SAMe,Amphetamines
SAMe,Dextromethorphan
SAMe,Levodopa
SAMe,Narcotics
SAMe,St. John's wort
St. John's wort,Alprazolam (Xanax)
St. John's wort,Antidepressants
St. John's wort,Barbiturates
St. John's wort,"Bupropion (Wellbutrin SR, Forfivo XL)"
St. John's wort,Certain chemotherapy medicines that treat cancer
St. John's wort,Certain medicines that suppress the immune system
St. John's wort,Certain statins
St. John's wort,Contraceptive medicines
St. John's wort,"Cytochrome P450 1A2, cytochrome P450 2B6, cytochrome P450 2C19, cytochrome P450 2C9 and cytochrome P450 3A4 substrates"
St. John's wort,Dextromethorphan
St. John's wort,Digoxin (Lanoxin)
St. John's wort,Fexofenadine (Allegra Allergy)
St. John's wort,Ketamine (Ketalar)
St. John's wort,Narcotics
St. John's wort,Non-nucleoside reverse transcriptase inhibitors
St. John's wort,Omeprazole (Prilosec)
St. John's wort,"Phenytoin (Dilantin, Phenytek)"
St. John's wort,Photosensitizing medicines
St. John's wort,Protease inhibitors
St. John's wort,Triptans
St. John's wort,Voriconazole
St. John's wort,Warfarin (Jantoven)
Vitamin A,Hepatotoxic medicines
Vitamin A,"Orlistat (Alli, Xenical)"
Vitamin A,Retinoids
Vitamin A,Warfarin (Jantoven)
Vitamin B-6,Altretamine
Vitamin B-6,Barbiturates
Vitamin B-6,Anticonvulsants
Vitamin B-6,Levodopa
Vitamin B-12,Aminosalicylic acid (Paser)
Vitamin B-12,Antiseizure medicines
Vitamin B-12,"Colchicine (Colcrys, Mitigare, Gloperba)"
Vitamin B-12,"Metformin (Glumetza, Fortamet, others)"
Vitamin B-12,Gastric acid inhibitors
Vitamin B-12,Vitamin C (ascorbic acid) supplements
Vitamin B-12,Bile acid sequestrants (cholestyramine)
Vitamin C,Aluminum
Vitamin C,Chemotherapy
Vitamin C,Estrogen
Vitamin C,Protease inhibitors
Vitamin C,Statins and niacin
Vitamin C,Iron
Vitamin C,Warfarin (Jantoven)
Vitamin D,Aluminum
Vitamin D,Anticonvulsants
Vitamin D,Atorvastatin (Lipitor)
Vitamin D,"Calcipotriene (Dovonex, Sorilux)"
Vitamin D,"Cholestyramine (Prevalite, Locholest)"
Vitamin D,"Cytochrome P450 3A4 substrates, also called CYP3A4 substrates"
Vitamin D,Digoxin (Lanoxin)
Vitamin D,"Diltiazem (Cardizem, Tiazac, others)"
Vitamin D,"Orlistat (Xenical, Alli)"
Vitamin D,Thiazide diuretics
Vitamin D,Steroids
Vitamin D,Stimulant laxatives
Vitamin D,Verapamil (Verelan)
Vitamin E,Alkylating agents and antitumor antibiotics
Vitamin E,"Anticoagulant and antiplatelet medicines, herbs, and supplements"
Vitamin E,"Cytochrome P450 3A4 substrates, also called CYP3A4 substrates"
Vitamin E,Statins and niacin
Vitamin E,Vitamin K
Zinc,Antibiotics
Zinc,"Penicillamine (Cuprimine, Depen)"
