supplement_id,medication_id
S02,M11
S02,M60
S02,M90
S02,M101
S02,M110
S02,M121
S02,M122
S03,M16
S04,M36
S05,M25
S05,M38
S05,M62
S05,M77
S05,M100
S05,M111
S05,M113
S05,M115
S06,M11
S06,M54
S06,M78
S06,M92
S07,M11
S07,M30
S07,M47
S07,M88
S07,M118
S08,M11
S08,M62
S09,M21
S09,M28
S09,M82
S09,M96
S10,M05
S10,M11
S10,M22
S10,M23
S10,M105
S10,M71
S11,M01
S11,M121
S13,M11
S13,M30
S13,M57
S13,M74
S13,M85
S13,M122
S13,M102
S14,M02
S14,M11
S14,M35
S14,M95
S14,M79
S15,M11
S15,M21
S15,M30
S15,M39
S15,M57
S15,M47
S15,M50
S15,M65
S15,M72
S15,M99
S16,M52
S16,M57
S16,M97
S16,M103
S16,M104
S17,M02
S17,M04
S17,M30
S17,M45
S17,M70
S17,M107
S17,M124
S18,M02
S18,M49
S18,M53
S18,M68
S18,M67
S18,M70
S18,M84
S18,M106
S18,M107
S19,M24
S19,M25
S19,M09
S19,M56
S19,M76
S19,M83
S19,M106
S20,M05
S20,M23
S20,M28
S20,M34
S20,M40
S20,M41
S20,M42
S20,M47
S20,M51
S20,M56
S20,M60
S20,M64
S20,M75
S20,M83
S20,M86
S20,M87
S20,M93
S20,M94
S20,M95
S20,M114
S20,M120
S20,M121
S22,M70
S22,M88
S22,M98
S22,M121
S23,M06
S23,M28
S23,M21
S23,M76
S24,M08
S24,M26
S24,M46
S24,M81
S24,M66
S24,M117
S24,M29
S25,M07
S25,M43
S25,M62
S25,M95
S25,M108
S25,M73
S25,M121
S26,M07
S26,M21
S26,M27
S26,M37
S26,M44
S26,M60
S26,M61
S26,M88
S26,M112
S26,M109
S26,M110
S26,M116
S27,M03
S27,M11
S27,M108
S27,M119
S28,M10
S28,M91
