slug,name,alt_names,category,safety_info,drug_interactions,contraindications,evidence_summary
Acidophilus,Supplement,"Possible side effects from acidophilus include: Constipation. Gas. Bloating. Increased thirst. If you have a weakened immune system or other health conditions, talk to your healthcare professional before taking a product such as acidophilus that has live bacteria. Premature infants who've received probiotics have had serious infections. Do not give probiotics to premature infants. If you're lactose intolerant, be aware that some acidophilus products might have lactose.",Acidophilus doesn't have any known major interactions (Mild): Acidophilus doesn't have any known major interactions.,
Aloe,Herb / Plant-based,Experts believe aloe gel is safe when put on the skin using directions. It might be safe to take small doses by mouth for a short time. Taking aloe latex or whole-leaf extract by mouth may be unsafe. It's likely unsafe in high doses. Taking 1 gram a day of aloe latex for a few days can cause short-term kidney failure. It can be fatal. Aloe latex also might cause cancer. Other side effects include stomach cramps and loose stools. Children younger than age 12 should not take aloe latex and whole-leaf extract by mouth. People who are pregnant or breastfeeding should not use aloe in either form.,"Mixing aloe with the following medicines may cause harm: (Mild): Mixing aloe with the following medicines may cause harm: | Anticoagulants and antiplatelet medicines, herbs and supplements (Moderate): Anticoagulants and antiplatelet medicines, herbs and supplements.These types of medicines, herbs and supplements slow blood clotting. Taking aloe by mouth also might slow blood clotting. Taking aloe by mouth with these types of medicines might lead to more bleeding. | Digoxin (Mild): Digoxin (Lanoxin).Taking aloe latex by mouth can lower potassium levels. Low potassium might raise the side effects of digoxin. Don't take aloe latex and digoxin together. | Diabetes medicines (Moderate): Diabetes medicines.Taking aloe gel by mouth while taking diabetes medicines might raise the risk of low blood sugar, called hypoglycemia. | Other medicines taken by mouth (Mild): Other medicines taken by mouth.Taking aloe latex by mouth can keep the body from taking in other medicines. This might lower how well those medicines work. | Sevoflurane (Moderate): Sevoflurane (Sojourn, Ultane).This medicine used to cause a sleeplike state during surgery, called anesthesia, may slow blood clotting. Taking aloe by mouth also may slow blood clotting. Taken together, they might cause too much bleeding during surgery. | Stimulant laxatives (Mild): Stimulant laxatives.Taking aloe latex with medicines that help move stool through the body might make the bowels work too hard. This can lead to loss of fluids, called dehydration. | Warfarin (Moderate): Warfarin (Jantoven).Taking aloe latex by mouth can cause loose stools. This can add to the effects of warfarin, a blood-thinning medicine. This can raise the risk of bleeding. | Water pills, also called diuretics (Mild): Water pills, also called diuretics.Taking aloe latex by mouth with diuretics might lower the body's potassium levels too much, leading to a condition called hypokalemia.",Taking aloe latex or whole-leaf extract by mouth may be unsafe. It's likely unsafe in high doses. Taking 1 gram a day of aloe latex for a few days can cause short-term kidney failure. It can be fatal. | Aloe latex also might cause cancer. Other side effects include stomach cramps and loose stools. Children younger than age 12 should not take aloe latex and whole-leaf extract by mouth. | People who are pregnant or breastfeeding should not use aloe in either form.
Coenzyme-Q10,Supplement,"Coenzyme Q10, also called, CoQ10 supplements seem to be safe. They cause few side effects when taken as directed. Mild side effects might include stomach problems such as: Upper stomach pain. Loss of appetite. Nausea. Diarrhea. Other possible side effects may include: Dizziness. Problems sleeping. Tiredness. Headaches. Rash. Irritability. Healthcare professionals haven't decided if CoQ10 is safe to take during pregnancy or while breastfeeding. Don't use CoQ10 if you're pregnant or breastfeeding without your healthcare professional's approval.","Possible interactions include: (Mild): Possible interactions include: | Anticoagulants (Mild): Anticoagulants.Coenzyme Q10, also called CoQ10, might make the blood-thinning medicine warfarin (Jantoven) not work as well. This could raise the risk of a blood clot.",Healthcare professionals haven't decided if CoQ10 is safe to take during pregnancy or while breastfeeding. Don't use CoQ10 if you're pregnant or breastfeeding without your healthcare professional's approval.
Creatine,Supplement,"When used orally at appropriate doses, creatine is likely safe to take for up to five years. As with any dietary supplement, it's important to choose a product that follows recommended manufacturing practices and subscribes to third-party testing to ensure the product's quality. Creatine can cause: Weight gain, generally as lean body mass Creatine might be unsafe for people with preexisting kidney problems. However, further research is needed.",Possible interactions include: (Mild): Possible interactions include: | Caffeine (Mild): Caffeine.Combining caffeine with creatine might decrease the efficacy of creatine. Use of creatine with a daily amount of caffeine greater than 300 milligrams might also worsen the progression of Parkinson's disease. Further research is needed.,"Creatine might be unsafe for people with preexisting kidney problems. However, further research is needed."
Dhea,Herb / Plant-based,"DHEA is a hormone. Use of this supplement might increase levels of androgen and have a steroid effect. DHEA also might increase the risk of hormone-sensitive cancers, including prostate, breast and ovarian cancers. If you have any form of cancer or are at risk of cancer, don't use DHEA. Don't use DHEA if you're pregnant or breastfeeding. Consider avoiding use of DHEA if you have high cholesterol or a condition that affects the supply of blood to the heart (ischemic heart disease). DHEA might reduce high-density lipoprotein (HDL), or ""good,"" cholesterol levels. Use of DHEA also might worsen psychiatric disorders and increase the risk of mania in people who have mood disorders. DHEA also might cause oily skin, acne and unwanted, male-pattern hair growth in women (hirsutism).","Possible interactions include: (Mild): Possible interactions include: | Antipsychotics (Mild): Antipsychotics.Use of DHEA with antipsychotics such as clozapine (Clozaril, Versacloz, others) might reduce the drug's effectiveness. | Carbamazepine (Mild): Carbamazepine (Tegretol, Carbatrol, others).Use of DHEA with this drug used to treat seizures, nerve pain and bipolar disorder might reduce the drug's effectiveness. | Estrogen (Mild): Estrogen.Don't use DHEA with estrogen. Combining DHEA and estrogen might cause symptoms of excess estrogen, such as nausea, headache and insomnia. | Lithium (Mild): Lithium.Use of DHEA with lithium might reduce the drug's effectiveness. | Selective serotonin reuptake inhibitors (Mild): Selective serotonin reuptake inhibitors.Use of DHEA with this type of antidepressant might cause manic symptoms. | Testosterone (Mild): Testosterone.Don't use DHEA with testosterone. Combining DHEA and testosterone might cause symptoms such as low sperm count and enlarged breasts in men (gynecomastia) and the development of typically male characteristics in women. | Triazolam (Mild): Triazolam (Halcion).Using DHEA with this sedative might increase the effects of this drug, causing excessive sedation and affecting your breathing and heart rate. | Valproic acid (Mild): Valproic acid.Use of DHEA with this medication used to treat seizures and bipolar disorder might reduce the drug's effectiveness.","Don't use DHEA if you're pregnant or breastfeeding. | Consider avoiding use of DHEA if you have high cholesterol or a condition that affects the supply of blood to the heart (ischemic heart disease). DHEA might reduce high-density lipoprotein (HDL), or ""good,"" cholesterol levels."
Primrose,Herb / Plant-based,"When taken by mouth in typical amounts for a short time, evening primrose oil is most likely safe. But taking evening primrose oil can cause: Upset stomach. Loose stools. Headache. Don't take evening primrose if you have a bleeding condition. Taking the supplement may raise the bleeding risk. If you're having surgery, stop taking evening primrose two weeks before the surgery. Also, don't take evening primrose if you have epilepsy or schizophrenia. The supplement might raise your risk of seizures. Evening primrose oil might raise the risk of pregnancy complications. Some types of evening primrose may act like estrogen. So people with hormone-sensitive cancers also shouldn't take it. It also may raise blood pressure.","Possible interactions include: (Mild): Possible interactions include: | Anticoagulants and anti-platelet medicines, herbs and supplements (Moderate): Anticoagulants and anti-platelet medicines, herbs and supplements.These types of medicines, herbs and supplements keep blood from clotting. Taking evening primrose while also taking these medicines may raise the risk of bleeding. | Cytochrome P450 3A4 substrates,also called CYP3A4 substrates (Mild): Cytochrome P450 3A4 substrates,also called CYP3A4 substrates. Use evening primrose with care if you take a medicine affected by these enzymes. One such medicine is the cholesterol-lowering lovastatin (Altoprev). | Lopinavir-ritonavir (Mild): Lopinavir-ritonavir (Kaletra).This medicine treats the infection caused by human immunodeficiency virus, also called HIV. Evening primrose oil might slow how quickly the body breaks down this medicine. | Phenothiazines (Mild): Phenothiazines.These medicines treat serious mental health conditions. Taking evening primrose oil with phenothiazines may raise the risk of seizures in some people.","Don't take evening primrose if you have a bleeding condition. Taking the supplement may raise the bleeding risk. If you're having surgery, stop taking evening primrose two weeks before the surgery."
Fish-Oil,Supplement,"When taken as recommended, fish oil supplements are generally considered safe. However, fish oil supplements can cause mild side effects, including: A fishy aftertaste Bad breath Heartburn, nausea or diarrhea Rash Taking high doses of fish oil supplements might increase the risk of bleeding and possibly increase the risk of stroke.","Possible interactions include: (Mild): Possible interactions include: | Anticoagulant and antiplatelet drugs, herbs and supplements (Moderate): Anticoagulant and antiplatelet drugs, herbs and supplements.These types of drugs, herbs and supplements reduce blood clotting. It's possible that taking fish oil supplements with them might increase the risk of bleeding. | Blood pressure drugs, herbs and supplements (Mild): Blood pressure drugs, herbs and supplements.Taking fish oil supplements might slightly lower blood pressure. Taking these supplements with blood pressure drugs might increase the effects on blood pressure. | Contraceptive drugs (Mild): Contraceptive drugs.Some contraceptive drugs might interfere with the effect fish oil typically has on triglycerides. | Orlistat (Mild): Orlistat (Xenical, Alli).Taking fish oil with this weight-loss drug might decrease absorption of fish oil fatty acids. Consider taking the supplement and drug two hours apart. | Vitamin E (Mild): Vitamin E.Taking fish oil can reduce vitamin E levels.",
Flaxseed-And-Flaxseed-Oil,Herb / Plant-based,"When taken in recommended amounts, flaxseed and flaxseed oil are generally safe to use. But when taken in large amounts and with too little water, flaxseed can cause: Bloating. Gas. Diarrhea. Do not take flaxseed or flaxseed oil if you're pregnant or breastfeeding. For some people, flaxseed or flaxseed oil can cause an allergic reaction. Don't eat raw or unripe flaxseeds. Flaxseed oil might lessen the blood's ability to clot. Because of this, if you're having surgery, be sure to tell your healthcare team that you take flaxseed oil. You may need to stop taking flaxseed oil before you have surgery.","Flaxseed or flaxseed oil may lead to problems if you're taking the following medicines: (Mild): Flaxseed or flaxseed oil may lead to problems if you're taking the following medicines: | Anticoagulant and antiplatelet medicines (Moderate): Anticoagulant and antiplatelet medicines.These medicines lower the blood's ability to clot. Flaxseed also might lessen blood clotting. Because of that, it's possible that taking flaxseed or flaxseed oil along with anticoagulant or antiplatelet medicines might raise the risk of bleeding. | Blood pressure medicines (Mild): Blood pressure medicines.Flaxseed may lower blood pressure. So taking flaxseed or flaxseed oil along with medicines that lower blood pressure might lower blood pressure to a level that isn't healthy. | Diabetes medicines (Mild): Diabetes medicines.Flaxseed may lower blood sugar. Taking flaxseed along with diabetes medicines might lower blood sugar too much. The same is true if you take flaxseed along with other medicines that have the potential to lower blood sugar. | Estrogens (Mild): Estrogens.Flaxseed may hinder the effects of estrogen. That means taking flaxseed might lower the effectiveness of birth control pills and estrogen replacement therapy. | Talk to your healthcare professional before you start taking flaxseed or flaxseed oil to make sure it's right for you (Mild): Talk to your healthcare professional before you start taking flaxseed or flaxseed oil to make sure it's right for you.","Do not take flaxseed or flaxseed oil if you're pregnant or breastfeeding. | Flaxseed oil might lessen the blood's ability to clot. Because of this, if you're having surgery, be sure to tell your healthcare team that you take flaxseed oil. You may need to stop taking flaxseed oil before you have surgery."
Folate,Vitamin,"When taken by mouth at suggested doses, folic acid is likely safe. Taking high doses of folic acid by mouth can cause: A bitter taste in the mouth. Nausea. Loose stools. Confusion. Irritability. Trouble sleeping. Stomach cramps. People with allergies might have a reaction to folic acid supplements. Warning signs of an allergic reaction include: Skin rash. Itching. Skin color changes, such as purple or brown depending on your skin color. Difficulty breathing. If you take too much folic acid, it comes out of the body in urine. When a person takes a high amount of a folic acid supplement, it can be hard to know if the person has enough vitamin B-12. Taking folic acid supplements can help correct low blood counts, but it won't repair nerve damage from not having enough vitamin B-12. Taking a supplement that has 100% of the Daily Value of both folic acid and vitamin B-12 can help prevent this issue.","Possible interactions include: (Mild): Possible interactions include: | Anticonvulsants (Mild): Anticonvulsants.Taking folic acid with carbamazepine (Carbatrol, Tegretol, others), phenytoin (Dilantin, Phenytek) or valproate might lower the amount of the medicine in the blood. | Barbiturates (Mild): Barbiturates.A barbiturate is a medicine that acts as a central nervous system depressant. If you take folic acid with a barbiturate, the medicine might not work as well. | Methotrexate (Severe): Methotrexate (Trexall).Taking folic acid with this medicine when used to treat cancer could affect how well it works. | Pyrimethamine (Mild): Pyrimethamine (Daraprim).Taking folic acid with this medicine used to prevent malaria might affect how well it works.",
Ginkgo,Herb / Plant-based,"When taken by mouth in typical amounts, ginkgo seems to be safe for most healthy adults. Ginkgo can cause: Headache. Low salt levels. Bleeding. Dizziness. The feeling of the heart pounding or racing, called palpitations. Upset stomach. Trouble passing stool, called constipation. Skin allergies. Don't eat raw or roasted ginkgo seeds. They can poison you. For people who have epilepsy or any type of seizure, large amounts of ginkgo may raise the risk of seizures. If you are older, have a bleeding condition, or are pregnant, don't take ginkgo. The supplement might raise the risk of bleeding. If you're having surgery, stop taking ginkgo two weeks before the surgery. Ginkgo might get in the way of managing diabetes. If you take ginkgo and have diabetes, closely watch your blood sugar levels. Some research has shown that giving rodents ginkgo raises their risk of getting liver and thyroid cancers.","Ginkgo may react with many medicines (Mild): Ginkgo may react with many medicines. Check with your pharmacist before taking ginkgo with any medicine. | Possible interactions include: (Mild): Possible interactions include: | Alprazolam (Mild): Alprazolam (Xanax).This medicine relieves symptoms of anxiety. Taking ginkgo with it might keep the medicine from working as well. | Anticoagulants and antiplatelet drugs, herbs and supplements (Moderate): Anticoagulants and antiplatelet drugs, herbs and supplements.These types of medicines, herbs and supplements lessen blood clotting. Taking ginkgo with them might raise the risk of bleeding. | Anticonvulsants and seizure threshold-lowering medicines, herbs and supplements (Mild): Anticonvulsants and seizure threshold-lowering medicines, herbs and supplements.Large amounts of ginkgo can cause seizures. Taking ginkgo could keep an anticonvulsant medicine from working as well. | Antidepressants (Mild): Antidepressants.Taking ginkgo with certain antidepressants, such as fluoxetine (Prozac), might keep them from working as well. | Some statins (Mild): Some statins.Taking ginkgo with simvastatin (Zocor, Flolipid) might keep the medicine from working as well. Ginkgo also appears to lower the effects of atorvastatin (Lipitor, Atorvaliq). | Diabetes medicines (Mild): Diabetes medicines.Ginkgo might change how people with diabetes respond to these medicines. | Ibuprofen (Moderate): Ibuprofen.Using ginkgo with ibuprofen (Advil, Motrin IB, others) may increase bleeding risk.","If you are older, have a bleeding condition, or are pregnant, don't take ginkgo. The supplement might raise the risk of bleeding. If you're having surgery, stop taking ginkgo two weeks before the surgery. | Some research has shown that giving rodents ginkgo raises their risk of getting liver and thyroid cancers."
