symptom_id,symptom_name
SYM001,A Bitter Taste In The Mouth
SYM002,"A Deep State Of Sleep Where A Person Doesn'T Respond, Called Coma"
SYM003,A Fishy Aftertaste
SYM004,A History Of Heart Attack Or Stroke
SYM005,A Lack Of Muscle Control Or Coordination Of Voluntary Movements
SYM006,Acidophilus That Has Live Bacteria
SYM007,Acne
SYM008,Age-related macular degeneration
SYM009,Aging
SYM010,Airway Inflammation Or Worsening Of Asthma Symptoms
SYM011,Allergic Response
SYM012,"Allergic Skin Rash, Also Called Dermatitis"
SYM013,Alzheimer's disease
SYM014,"An Eye Condition In Which The Retina Is Damaged, Called Retinitis Pigmentosa"
SYM015,Anesthesia
SYM016,Angina
SYM017,Angioplasty
SYM018,Anxiety
SYM019,Athlete's foot
SYM020,Athletic performance and increasing energy
SYM021,"Atopic dermatitis,"
SYM022,Atorvastatin
SYM023,Autism spectrum disorder
SYM024,Bacterial vaginosis
SYM025,Bad Breath
SYM026,Balance Issues
SYM027,Belly Cramps
SYM028,Belly Pain
SYM029,Birth defects
SYM030,Bleeding
SYM031,Bleeding Conditions
SYM032,Bloating
SYM033,Blood Pressure Becoming Too Low
SYM034,Blood Sugar Screening Tests Or Stool Tests For Hidden Blood
SYM035,Blurred Vision
SYM036,Blurry Vision
SYM037,"Bone conditions passed through families, called inherited conditions"
SYM038,Breakthrough Bleeding
SYM039,Breast pain
SYM040,Burning
SYM041,Burns and wounds
SYM042,Cancer
SYM043,Cancer treatment
SYM044,Cannabinoid Hyperemesis Syndrome
SYM045,Cardiovascular disease
SYM046,Cholesterol levels
SYM047,Circadian rhythm sleep disorders in the blind
SYM048,Claudication
SYM049,Clozapine (Clozaril
SYM050,Cognition and brain health
SYM051,Cognitive health
SYM052,Cold and influenza
SYM053,Colds
SYM054,Common cold
SYM055,Confusion
SYM056,Constipation
SYM057,Contraceptive Or Birth Control Medicines
SYM058,Copper Deficiency
SYM059,Coq10
SYM060,Cough
SYM061,Coughing
SYM062,Cyp1A2
