supplement_name,symptom_name,context,description
Acidophilus,Constipation,side_effect,Constipation.
Acidophilus,Gas,side_effect,Gas.
Acidophilus,Bloating,side_effect,Bloating.
Acidophilus,Increased Thirst,side_effect,Increased thirst.
Acidophilus,Acidophilus That Has Live Bacteria,side_effect,"If you have a weakened immune system or other health conditions, talk to your healthcare professional before taking a product such as acidophilus that has live bacteria."
Aloe,Short-Term Kidney Failure,side_effect,Taking aloe latex or whole-leaf extract by mouth may be unsafe. It's likely unsafe in high doses. Taking 1 gram a day of aloe latex for a few days can cause short-term kidney failure. It can be fatal.
Aloe,Cancer,side_effect,Aloe latex also might cause cancer. Other side effects include stomach cramps and loose stools. Children younger than age 12 should not take aloe latex and whole-leaf extract by mouth.
Aloe,More Bleeding,interaction,"Anticoagulants and antiplatelet medicines, herbs and supplements.These types of medicines, herbs and supplements slow blood clotting. Taking aloe by mouth also might slow blood clotting. Taking aloe by mouth with these types of medicines might lead to more bleeding."
Aloe,Low Blood Sugar,interaction,"Diabetes medicines.Taking aloe gel by mouth while taking diabetes medicines might raise the risk of low blood sugar, called hypoglycemia."
Aloe,Hypoglycemia,interaction,"Diabetes medicines.Taking aloe gel by mouth while taking diabetes medicines might raise the risk of low blood sugar, called hypoglycemia."
Aloe,Too Much Bleeding During Surgery,interaction,"Sevoflurane (Sojourn, Ultane).This medicine used to cause a sleeplike state during surgery, called anesthesia, may slow blood clotting. Taking aloe by mouth also may slow blood clotting. Taken together, they might cause too much bleeding during surgery."
Aloe,Anesthesia,interaction,"Sevoflurane (Sojourn, Ultane).This medicine used to cause a sleeplike state during surgery, called anesthesia, may slow blood clotting. Taking aloe by mouth also may slow blood clotting. Taken together, they might cause too much bleeding during surgery."
Aloe,Loss Of Fluids,interaction,"Stimulant laxatives.Taking aloe latex with medicines that help move stool through the body might make the bowels work too hard. This can lead to loss of fluids, called dehydration."
Aloe,Dehydration,interaction,"Stimulant laxatives.Taking aloe latex with medicines that help move stool through the body might make the bowels work too hard. This can lead to loss of fluids, called dehydration."
Aloe,Loose Stools,interaction,"Warfarin (Jantoven).Taking aloe latex by mouth can cause loose stools. This can add to the effects of warfarin, a blood-thinning medicine. This can raise the risk of bleeding."
Aloe,Bleeding,interaction,"Warfarin (Jantoven).Taking aloe latex by mouth can cause loose stools. This can add to the effects of warfarin, a blood-thinning medicine. This can raise the risk of bleeding."
Aloe,Diuretics,interaction,"Water pills, also called diuretics.Taking aloe latex by mouth with diuretics might lower the body's potassium levels too much, leading to a condition called hypokalemia."
Aloe,Hypokalemia,interaction,"Water pills, also called diuretics.Taking aloe latex by mouth with diuretics might lower the body's potassium levels too much, leading to a condition called hypokalemia."
Coenzyme Q10,Upper Stomach Pain,side_effect,Upper stomach pain.
Coenzyme Q10,Loss Of Appetite,side_effect,Loss of appetite.
Coenzyme Q10,Nausea,side_effect,Nausea.
Coenzyme Q10,Diarrhea,side_effect,Diarrhea.
Coenzyme Q10,Dizziness,side_effect,Dizziness.
Coenzyme Q10,Problems Sleeping,side_effect,Problems sleeping.
Coenzyme Q10,Tiredness,side_effect,Tiredness.
Coenzyme Q10,Headaches,side_effect,Headaches.
Coenzyme Q10,Rash,side_effect,Rash.
Coenzyme Q10,Irritability,side_effect,Irritability.
Coenzyme Q10,Coq10,interaction,"Anticoagulants.Coenzyme Q10, also called CoQ10, might make the blood-thinning medicine warfarin (Jantoven) not work as well. This could raise the risk of a blood clot."
Creatine,"Weight Gain, Generally As Lean Body Mass",side_effect,"Weight gain, generally as lean body mass"
DHEA,Hormone-Sensitive Cancers,side_effect,"DHEA is a hormone. Use of this supplement might increase levels of androgen and have a steroid effect. DHEA also might increase the risk of hormone-sensitive cancers, including prostate, breast and ovarian cancers. If you have any form of cancer or are at risk of cancer, don't use DHEA."
DHEA,Cancer,side_effect,"DHEA is a hormone. Use of this supplement might increase levels of androgen and have a steroid effect. DHEA also might increase the risk of hormone-sensitive cancers, including prostate, breast and ovarian cancers. If you have any form of cancer or are at risk of cancer, don't use DHEA."
DHEA,Prostate,side_effect,"DHEA is a hormone. Use of this supplement might increase levels of androgen and have a steroid effect. DHEA also might increase the risk of hormone-sensitive cancers, including prostate, breast and ovarian cancers. If you have any form of cancer or are at risk of cancer, don't use DHEA."
DHEA,Oily Skin,side_effect,"DHEA also might cause oily skin, acne and unwanted, male-pattern hair growth in women (hirsutism)."
DHEA,Clozapine (Clozaril,interaction,"Antipsychotics.Use of DHEA with antipsychotics such as clozapine (Clozaril, Versacloz, others) might reduce the drug's effectiveness."
DHEA,Symptoms Of Excess Estrogen,interaction,"Estrogen.Don't use DHEA with estrogen. Combining DHEA and estrogen might cause symptoms of excess estrogen, such as nausea, headache and insomnia."
DHEA,Nausea,interaction,"Estrogen.Don't use DHEA with estrogen. Combining DHEA and estrogen might cause symptoms of excess estrogen, such as nausea, headache and insomnia."
DHEA,Manic Symptoms,interaction,Selective serotonin reuptake inhibitors.Use of DHEA with this type of antidepressant might cause manic symptoms.
Evening primrose,Upset Stomach,side_effect,Upset stomach.
Evening primrose,Loose Stools,side_effect,Loose stools.
Evening primrose,Headache,side_effect,Headache.
Evening primrose,Seizures,side_effect,"Also, don't take evening primrose if you have epilepsy or schizophrenia. The supplement might raise your risk of seizures."
Evening primrose,Pregnancy Complications,side_effect,Evening primrose oil might raise the risk of pregnancy complications. Some types of evening primrose may act like estrogen. So people with hormone-sensitive cancers also shouldn't take it. It also may raise blood pressure.
Evening primrose,Bleeding,interaction,"Anticoagulants and anti-platelet medicines, herbs and supplements.These types of medicines, herbs and supplements keep blood from clotting. Taking evening primrose while also taking these medicines may raise the risk of bleeding."
Evening primrose,Cyp3A4 Substrates,interaction,"Cytochrome P450 3A4 substrates,also called CYP3A4 substrates. Use evening primrose with care if you take a medicine affected by these enzymes. One such medicine is the cholesterol-lowering lovastatin (Altoprev)."
Evening primrose,Seizures In Some People,interaction,Phenothiazines.These medicines treat serious mental health conditions. Taking evening primrose oil with phenothiazines may raise the risk of seizures in some people.
Fish oil,Mild Side Effects,side_effect,"However, fish oil supplements can cause mild side effects, including:"
Fish oil,A Fishy Aftertaste,side_effect,A fishy aftertaste
Fish oil,Bad Breath,side_effect,Bad breath
Fish oil,"Heartburn, Nausea Or Diarrhea",side_effect,"Heartburn, nausea or diarrhea"
Fish oil,Rash,side_effect,Rash
Fish oil,Bleeding,interaction,"Anticoagulant and antiplatelet drugs, herbs and supplements.These types of drugs, herbs and supplements reduce blood clotting. It's possible that taking fish oil supplements with them might increase the risk of bleeding."
