supplement_name,symptom_name,context
Acidophilus,Bacterial vaginosis,treats
Acidophilus,Cold and influenza,treats
Acidophilus,Some types of diarrhea,treats
Acidophilus,Eczema,treats
Aloe,Burns and wounds,treats
Aloe,Acne,treats
Aloe,Psoriasis,treats
Aloe,Herpes simplex virus,treats
Aloe,Oral lichen planus,treats
Aloe,Constipation,treats
Coenzyme Q10,Heart conditions,treats
Coenzyme Q10,Diabetes,treats
Coenzyme Q10,Parkinson's disease,treats
Coenzyme Q10,Statin-induced myopathy,treats
Coenzyme Q10,Migraines,treats
Coenzyme Q10,Physical performance,treats
Coenzyme Q10,"Metabolic dysfunction-associated steatotic liver disease, also called MASLD",treats
Creatine,"Strength, muscle size and performance",treats
Creatine,Injury prevention,treats
Creatine,Rare creatine-metabolizing syndromes,treats
Creatine,Cognition and brain health,treats
Creatine,Sarcopenia and bone health,treats
Creatine,Heart failure,treats
Creatine,Skin aging,treats
DHEA,Aging,treats
DHEA,Depression,treats
DHEA,Osteoporosis,treats
DHEA,Vaginal atrophy,treats
Evening primrose,"Atopic dermatitis,",treats
Evening primrose,Breast pain,treats
Evening primrose,"Diabetic neuropathy,",treats
Evening primrose,"Premenstrual syndrome,",treats
Fish oil,Heart disease,treats
Fish oil,High blood pressure,treats
Fish oil,High triglycerides and cholesterol,treats
Fish oil,Rheumatoid arthritis,treats
Flaxseed and flaxseed oil,Heart disease,treats
Flaxseed and flaxseed oil,Cholesterol levels,treats
Flaxseed and flaxseed oil,Diabetes,treats
Flaxseed and flaxseed oil,Cancer,treats
Flaxseed and flaxseed oil,Menopausal symptoms,treats
Flaxseed and flaxseed oil,Constipation,treats
Folate (folic acid),Birth defects,treats
Folate (folic acid),Folate deficiency,treats
Folate (folic acid),Heart and blood vessel disease and stroke,treats
Folate (folic acid),Cancer,treats
Folate (folic acid),Depression,treats
Folate (folic acid),Dementia,treats
Folate (folic acid),Autism spectrum disorder,treats
Ginkgo,Dementia,treats
Ginkgo,Claudication,treats
Glucosamine,Osteoarthritis,treats
Glucosamine,Rheumatoid arthritis,treats
Honey,Cardiovascular disease,treats
Honey,Cough,treats
Honey,Gastrointestinal disease,treats
Honey,Neurological disease,treats
Honey,Wound care,treats
L-arginine,Angina,treats
L-arginine,High blood pressure (hypertension),treats
L-arginine,High blood pressure during pregnancy,treats
L-arginine,Preeclampsia,treats
L-arginine,Erectile dysfunction,treats
L-arginine,Peripheral arterial disease (PAD),treats
Marijuana,Glaucoma,treats
Marijuana,Nausea and vomiting related to cancer treatment,treats
Marijuana,Pain,treats
Marijuana,Seizures,treats
Marijuana,Spasticity,treats
Marijuana,Cancer treatment,treats
Melatonin,Circadian rhythm sleep disorders in the blind,treats
Melatonin,Delayed sleep phase (delayed sleep-wake phase sleep disorder),treats
Melatonin,Insomnia,treats
Melatonin,Jet lag,treats
Melatonin,Shift work disorder,treats
Melatonin,Sleep disorders in children,treats
Milk thistle,Diabetes,treats
Milk thistle,Indigestion (dyspepsia),treats
Milk thistle,Liver disease,treats
Niacin,High cholesterol,treats
Niacin,"Niacin deficiency, also called pellagra",treats
Red yeast rice,High cholesterol,treats
SAMe,Depression,treats
SAMe,Liver disease,treats
SAMe,Osteoarthritis,treats
St. John's wort,Depression,treats
St. John's wort,Menopause symptoms,treats
St. John's wort,Somatic symptom disorder,treats
Tea tree oil,Acne,treats
Tea tree oil,Dandruff,treats
Tea tree oil,Athlete's foot,treats
Tea tree oil,Lice,treats
Tea tree oil,Nail fungus,treats
Tea tree oil,Mite infections,treats
Tea tree oil,Dental plaque,treats
Vitamin A,Acne,treats
Vitamin A,Age-related macular degeneration,treats
Vitamin A,Cancer,treats
Vitamin A,Heart disease,treats
Vitamin A,Measles,treats
Vitamin A,Vitamin A deficiency,treats
Vitamin B-6,Heart and blood vessel disease and stroke,treats
Vitamin B-6,Morning sickness,treats
Vitamin B-6,Premenstrual syndrome (PMS),treats
Vitamin B-6,Sideroblastic anemia,treats
Vitamin B-12,Heart and blood vessel disease,treats
Vitamin B-12,Athletic performance and increasing energy,treats
Vitamin C,Cancer,treats
Vitamin C,Cardiovascular disease,treats
Vitamin C,Common cold,treats
Vitamin C,Eye diseases,treats
Vitamin D,Cancer,treats
Vitamin D,Cognitive health,treats
Vitamin D,"Bone conditions passed through families, called inherited conditions",treats
Vitamin D,Multiple sclerosis,treats
Vitamin D,Osteomalacia,treats
Vitamin D,Osteoporosis,treats
Vitamin D,Psoriasis,treats
Vitamin D,Rickets,treats
Vitamin E,Alzheimer's disease,treats
Vitamin E,Liver disease,treats
Vitamin E,Preeclampsia,treats
Vitamin E,Prostate cancer,treats
Zinc,Zinc deficiency,treats
Zinc,Colds,treats
Zinc,Wound healing,treats
Zinc,Diarrhea,treats
Zinc,Age-related macular degeneration,treats
